case_id,customer_text,gold_intent,predicted_intent,intent_correct,should_escalate,escalation_reason,reply,historical_customer,historical_reply,similarity,response_type,evidence_selected,internal_leakage,artifact_leakage
VZ-011,"@382476 @115722 Kinda like @247 They have a “flex” pack but it’s really just a smaller package of channels, many of which I wouldn’t ever watch.",I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.","@382476 @115722 Kinda like @247 
They have a “flex” pack but it’s really just a smaller package of channels, many of which I wouldn’t ever watch.","@128838 Hello. We also have Custom TV, which gives you more of the channels you only watch. 
^TXA",1.0000000000000002,unknown,True,True,False
VZ-012,Everyday from 5pm to 630pm @115725 service just goes to shit in Boston.,I02,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-013,@VerizonSupport your cust. Ser. Has gotten ridiculous in the last year. Hold time of 20-30 mins. I wait... I specially said...,I11,I11,True,True,Customer complaint requires human support intervention.,We're sorry for the frustration. This needs to be reviewed by a human support agent so they can look into the issue and assist you directly.,@VerizonSupport your cust. Ser. Has gotten ridiculous in the last year. Hold time of 20-30 mins. I wait... I specially said...,@193083 We hate to hear that you're having a bad experience.  What has you calling in today? ^BCW,1.0,clarification,True,False,False
VZ-014,@VerizonSupport WTH is going on with ur service? My daughter has been w/o mobile service for 4 days now? Not cool 4 a college student.,I05,I05,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.",@VerizonSupport WTH is going on with ur service?  My daughter has been w/o mobile service for 4 days now?  Not cool 4 a college student.,"@635137 Please contact our friends @115990 for assistance with Verizon Mobile service.
^TXA",1.0,unknown,True,True,False
VZ-015,FUCK YOU @115725 seriously. https://t.co/orwEsOgdRI,I12,I12,True,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-016,@VerizonSupport No just the on demand,I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Could you do me a favor and reboot the router and then that box please?,@VerizonSupport No just the on demand,@587603 Could you do me a favor and reboot the router and then that box please? ^RMD,1.0,clarification,True,False,False
VZ-017,we pay $200 a month for cable and Bein sports isn’t even HD. @115900 is straight trash. i’m going back to verizon,I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.","we pay $200 a month for cable and Bein sports isn’t even HD. 
@115900 is straight trash. 
 
i’m going back to verizon","@718065 We'd love to have you, Jacob.  Let us know how we can help with that switch. ^BCW",1.0000000000000002,unknown,True,True,False
VZ-018,"@105357 representative Eric Brown messed up my order for @115722, leaves me hanging on incorrect bill for months, now says he can't fix it. Fraudulent sales rep! Seriously avoid if you don't want to lose your money.",I07,I10,False,True,Account fraud or unauthorized activity requires human review.,"Thanks for flagging this. Because this involves potential unauthorized activity, a human support agent should review the account securely.","@105357 representative Eric Brown messed up my order for @115722, leaves me hanging on incorrect bill for months, now says he can't fix it. Fraudulent sales rep! Seriously avoid if you don't want to lose your money.",@766942 That's terrible.  Is the agent working working to correct your account?  ^CAR,1.0,clarification,True,False,False
VZ-019,@VerizonSupport 4G LTE extender still not working. Talked with support for an hour last night but no response yet after a ticket was supposed to be created...,I05,I05,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.",@VerizonSupport 4G LTE extender still not working. Talked with support for an hour last night but no response yet after a ticket was supposed to be created...,@625021 Let's bring in our team with @115990 so they can help with this extender. ^BCW,0.9999999999999998,unknown,True,True,False
VZ-020,"@VerizonSupport It's to everything and at random times. It can last for a couple of hours or a couple of days. Right now it seems to have subsided from where it was when I initially tweeted, so doing a tracert isn't showing anything unusual. Ping shows some random delay getting to Google https://t.co/JV04H9IYBZ",I02,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-021,@VerizonSupport Same problem with service and now to lose a day of work so I can wait for a technician to come back for the same problem.,I08,I08,True,True,Installation or technician scheduling requires account-specific action.,"Thanks for reaching out. Installation and technician scheduling require account-specific assistance, so a support agent should review the details with you.",@VerizonSupport Same problem with service and now to lose a day of work so I can wait for a technician to come back for the same problem.,"@356715 Did we already schedule a return visit?
^TNT",1.0,clarification,True,False,False
VZ-022,@406010 @VerizonSupport Back down again here too #verizonoutage,I01,I01,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-023,Having to pay to restore my account plan back to what it was pre-fraud from August. Thanks @115725 😡😡😡,I10,I10,True,True,Account fraud or unauthorized activity requires human review.,"Thanks for flagging this. Because this involves potential unauthorized activity, a human support agent should review the account securely.",Having to pay to restore my account plan back to what it was pre-fraud from August. Thanks @115725 😡😡😡,"@311535 Oh no, let us look into it for you. is it for your cellular or residential account?
^TNT",1.0000000000000002,clarification,True,False,False
VZ-024,@VerizonSupport are you have fios mobile and/or login issues. https://t.co/08sXeTpV9x on computer doesn’t fully work and fios mobile apps,I06,I06,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Our apologies as we have gotten reports and the issue is being investigated.,@VerizonSupport are you have fios mobile and/or login issues. https://t.co/08sXeTpV9x on computer doesn’t fully work and fios mobile apps,@180132 Our apologies as we have gotten reports and the issue is being investigated. ^JRA,0.9999999999999998,troubleshooting,True,False,False
VZ-025,@115722 So I can’t watch this TV show on my TV?,I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.",@115722 So I can’t watch this TV show on my TV?,"@481026 If they do not have it up On Demand at this time you would not be able to view it on the TV.
^FEM",1.0,unknown,True,True,False
VZ-026,"@VerizonSupport So I just retightened it, and now the pixelated channel changed! Also, don't have another TV.",I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Are all the channels clear now?,"@VerizonSupport So I just retightened it, and now the pixelated channel changed! Also, don't have another TV.",@293506 Are all the channels clear now? ^NHP,1.0,clarification,True,False,False
VZ-027,"The extra shit @115725 is trying to sell right now is ridiculous. Caller ID? What is this 1990? Voicemail to text? You know our phones already do that, right?",I05,I09,False,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Is this for your Verizon residential or Verizon wireless mobile?,"The extra shit @115725 is trying to sell right now is ridiculous. Caller ID? What is this 1990? Voicemail to text? You know our phones already do that, right?","@482028 Is this for your Verizon residential or Verizon wireless mobile?
^ADP",0.9999999999999998,clarification,True,False,False
VZ-028,@115722 why does my Olympic Channel keep breaking up? Signed Waiting for the downhill splits,I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,That's odd. Do you mean the picture is tiling?,"@115722 why does my Olympic Channel keep breaking up? 
Signed
Waiting for the downhill splits",@259593 That's odd.  Do you mean the picture is tiling?  ^CAR,1.0,clarification,True,False,False
VZ-029,@VerizonSupport I️ do not have time to tweet all night. Two nights in a row. You are very quick to take my money and send a person out for install. Stand by your advertising of great service.,I08,I08,True,True,Installation or technician scheduling requires account-specific action.,"Thanks for reaching out. Installation and technician scheduling require account-specific assistance, so a support agent should review the details with you.",@VerizonSupport I️ do not have time to tweet all night. Two nights in a row.  You are very quick to take my money and send a person out for install. Stand by your advertising of great service.,@702451 We are here to assist. What issue have you been experiencing that requires a tech visit? ^JRA,1.0000000000000002,clarification,True,False,False
VZ-030,"@VerizonSupport so many problems with FIOS TV. viz: when a program scheduled for DVR is delayed, the desired recording is not made.",I04,I08,False,True,Installation or technician scheduling requires account-specific action.,"Thanks for reaching out. Installation and technician scheduling require account-specific assistance, so a support agent should review the details with you.","@VerizonSupport so many problems with FIOS TV.  viz: when a program scheduled for DVR is delayed, the desired recording is not made.","@304354 We do apologize. If a program is delayed by the broadcaster, the recording is set for a window of time not by the program name. 
^TDC",1.0,unknown,True,False,False
VZ-031,@VerizonSupport - are you having an outage? All my services are down and I've been on hold for a while waiting to speak with someone.,I01,I01,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-032,@115858 @VerizonSupport Why am I getting such awful speeds with Unlimited Beyond Plan in zipcode 27616? AT&amp;T was exponentially better. Help! https://t.co/bu9hs8Qota,I02,I02,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-033,"@VerizonSupport My NFL Redzone = not working. Using WMC with cable card. Msg = ""service unavailable signal not detected."" other chnnls wrk",I04,I04,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Are you attempting to view it on your TV using the cable card?,"@VerizonSupport My NFL Redzone = not working. Using WMC with cable card. Msg = ""service unavailable signal not detected.""  other chnnls wrk","@201451 Are you attempting to view it on your TV using the cable card?
^TNT",1.0,clarification,True,False,False
VZ-034,@VerizonSupport Waiting for an hour on the phone to order Verizon Fios. Do you guys not like making money. I waited on the phone for 3 mins with @116136,I08,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-035,"@VerizonSupport No orders have been placed, it's a family account. Wanting to ensure it's not fraud.",I10,I10,True,True,Account fraud or unauthorized activity requires human review.,"Thanks for flagging this. Because this involves potential unauthorized activity, a human support agent should review the account securely.","@VerizonSupport No orders have been placed, it's a family account. Wanting to ensure it's not fraud.",@733244 Is this for your cellular account?  ^CAR,1.0,clarification,True,False,False
VZ-036,"@VerizonSupport It almost feels like an account provisioning issue, but I don’t recall making any changes to the channel lineup recently.",I04,I07,False,True,Billing or payment issues may require account-specific verification.,"Thanks for reaching out. Billing and payment issues may require account-specific verification, so a support agent should review the account details with you.","@VerizonSupport It almost feels like an account provisioning issue, but I don’t recall making any changes to the channel lineup recently.",@359452 That error message is associated to a signal issue.  ^CAR,1.0,troubleshooting,True,False,False
VZ-037,"@VerizonSupport blocked, the voicemail icon appears when device never rang every 90 minutes or so",I09,I09,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.","@VerizonSupport blocked, the voicemail icon appears when device never rang every 90 minutes or so",@212416 Could you follow and DM us the number that is calling you please. ^RMD,0.9999999999999998,escalation,True,True,False
VZ-038,@VerizonSupport Please contact me. My landline isn’t working AGAIN and claims service is interrupted AGAIN,I09,I09,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-039,Can't wait to cancel my @115722. This is the right choice. https://t.co/eIJnhuRvIc,I11,I11,True,True,Customer complaint requires human support intervention.,We're sorry for the frustration. This needs to be reviewed by a human support agent so they can look into the issue and assist you directly.,,,0.0,,False,False,False
VZ-040,@VerizonSupport I have been having issues with Verizon since August! way too much to type please find me in your system and have someone call me on my cell which is listed!,I12,I12,True,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-041,"@VerizonSupport When we get @115722 in the 20036 zip for businesses? Mobile, home, work customer, but need faster speed!",I12,I02,False,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=0.447).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-042,@VerizonSupport All three of these and 1-800-Verizon. All closed https://t.co/jp0Y8bqBQt,I12,I12,True,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-043,@VerizonSupport Yes. I have a question about buying the right router for my internet. New customer. I want to buy my own router.,I03,I03,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,What questions do you have? We can answer your questions be we do not recommend equipment .,@VerizonSupport Yes. I have a question about buying the right router for my internet. New customer. I want to buy my own router.,"@141424 What questions do you have?  We can answer your questions be we do not recommend equipment .
^TDC",1.0,clarification,True,False,False
VZ-044,"hey @VerizonSupport , i've got internet speeds way below what I pay for and your ""optimizer"" only works on Windows? what the fuck gives?",I02,I02,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-045,@VerizonSupport I’ve been through this already. I’d like to speak with a representative over the phone to schedule an appointment. I️ know what the issue -,I08,I08,True,True,Installation or technician scheduling requires account-specific action.,"Thanks for reaching out. Installation and technician scheduling require account-specific assistance, so a support agent should review the details with you.",@VerizonSupport I’ve been through this already. I’d like to speak with a representative over the phone to schedule an appointment. I️ know what the issue -,"@682145 In order to speak to someone over the phone you would need to call in.
^JAY",0.9999999999999998,unknown,True,False,False
VZ-046,@VerizonSupport Back to @116602 losers,I12,I12,True,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-047,"@115722 In New Jersey, trying to watch ""White Men Can't Jump"" on @51309 and the signal keeps lagging. 🤔Help! #ruiningSunday",I04,I02,False,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-048,@VerizonSupport wired speedtests are great. But as soon as I load up @15542 or @75982 and try to stream to @119038 all frames drop. #throttled,I02,I02,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-049,@VerizonSupport Again...I've NEVER lived in NJ but I'm told that I owe 1448 dollars for a land line there! How does THAT work! I've NEVER been to Trenton,I10,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-050,@VerizonSupport Verizon wireless mobile,I05,I05,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=0.747).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-051,"@115725 If you dismiss a card in the My Verizon app, how do you get it back? One got dismissed that was not the one I was actually swiping away. Then when I tapped “Undo,” it went to something else, and when I immediately went back to the main feed screen, “Undo” was gone.",I12,I07,False,True,Billing or payment issues may require account-specific verification.,"Thanks for reaching out. Billing and payment issues may require account-specific verification, so a support agent should review the account details with you.","@115725 If you dismiss a card in the My Verizon app, how do you get it back? One got dismissed that was not the one I was actually swiping away. Then when I tapped “Undo,” it went to something else, and when I immediately went back to the main feed screen, “Undo” was gone.","@758001 Is this for your Verizon residential or Verizon wireless mobile?
^ADP",1.0,clarification,True,False,False
VZ-052,How does one successfully turn off their @115725 account? There is no option online and their sales folks just keep you on hold.,I11,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-053,@115722 is there a outage effecting northern va and dc?,I01,I01,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-054,@VerizonSupport to wait on a tech and pay a fee when all the wires and equipment for installation is here and I'm a certified pcst (4/8),I08,I08,True,True,Installation or technician scheduling requires account-specific action.,"Thanks for reaching out. Installation and technician scheduling require account-specific assistance, so a support agent should review the details with you.",,,0.0,,False,False,False
VZ-055,@VerizonSupport i have tried to do a chat and find out what is going on with my bill and no one is available.,I07,I07,True,True,Billing or payment issues may require account-specific verification.,"Thanks for reaching out. Billing and payment issues may require account-specific verification, so a support agent should review the account details with you.",@VerizonSupport i have tried to do a chat and find out what is going on with my bill and no one is available.,"@217888 We can help you here. What questions do you have with your bill? Please follow and DM us so we can further assist. 
^ADP",1.0,escalation,True,False,False
VZ-056,@VerizonSupport Been on hold on a Verizon Store using your locations phone. What's the excuse? https://t.co/KF9G3MVMdg,I11,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-057,@VerizonSupport I would like to turn off my voicemail feature. Is there any way I can do this w/out calling?,I09,I09,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Do you have digital voice or copper for phone service?,@VerizonSupport I would like to turn off my voicemail feature. Is there any way I can do this w/out calling?,@390274 Do you have digital voice or copper for phone service?  ^CAR,1.0,clarification,True,False,False
VZ-058,"@VerizonSupport Unfortunately,the app is now giving me red circle swirling. Then plays then does the swirling again,hard to watch something that keeps that",I06,I06,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Oh no, is this happening to all sites? Do you happen to have Tracerts for us to review?",@398945 @115722 @115725 can't figure out routing on the east coast. log in a VPN and watch the lag disappear.,"@399392 Oh no, is this happening to all sites? Do you happen to have Tracerts for us to review?  ^JRA",0.318034444304681,clarification,True,False,False
VZ-059,@VerizonSupport Been on hold for 57 minutes. If someone could answer it would be helpful. https://t.co/5CVXM5wOBV,I11,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-060,@VerizonSupport is the fios mobile app down or is widespread outage causing issue with it.,I06,I06,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.",@VerizonSupport is the fios mobile app down or is widespread outage causing issue with it.,@180235 Our apologies as we have gotten multiple reports. We appreciate your patience in the matter while we investigate.  ^JRA,1.0,unknown,True,True,False
VZ-061,@VerizonSupport This has been ongoing since April and it is unacceptable.,I11,I11,True,True,Customer complaint requires human support intervention.,We're sorry for the frustration. This needs to be reviewed by a human support agent so they can look into the issue and assist you directly.,@VerizonSupport This has been ongoing since April and it is unacceptable.,"@126791 We really don't want you to feel that way.
^NHP",1.0,unknown,True,False,False
VZ-062,@VerizonSupport Why am I missing text messages? Happening for a week now,I06,I05,False,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.",@VerizonSupport Why am I missing text messages? Happening for a week now,@821614 We will have to refer this to our wireless counterparts @115990 for all your mobile concerns. ^JRA,1.0,unknown,True,True,False
VZ-063,"@115725 Yes. I have been also experiencing very slow upload and download speeds, but that seems to be normal for you guys",I02,I02,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,We want to provide the correct support. Is this regarding your Mobile or Residential services?,"@115725 Yes. I have been also experiencing very slow upload and download speeds, but that seems to be normal for you guys",@350298 We want to provide the correct support. Is this regarding your Mobile or Residential services? ^JRA,0.9999999999999998,clarification,True,False,False
VZ-064,@VerizonSupport @115722 #verizonoutage Your service yesterday &amp; today have been dismal in NJ. When will it b restored? Reimbursment?,I01,I01,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-065,@VerizonSupport i pay you and it seems you forget you're an ISP. my speeds are treacherously slow need to reset reg. contact me or i'm DONE,I02,I02,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.",@VerizonSupport i pay you and it seems you forget you're an ISP. my speeds are treacherously slow need to reset reg. contact me or i'm DONE,@298821 Help is here. Please run a test at https://t.co/yMMRB4VWSM and post the results. ^KMG,1.0000000000000002,unknown,True,True,False
VZ-066,"@115722 After 7 calls to you since August due to an error on your end attempting to charge me $25 more than I signed a contract for, I've been promised 2 callbacks and a $50 credit. Apparently being a loyal customer means nothing.",I07,I07,True,True,Billing or payment issues may require account-specific verification.,"Thanks for reaching out. Billing and payment issues may require account-specific verification, so a support agent should review the account details with you.","@115722 After 7 calls to you since August due to an error on your end attempting to charge me $25 more than I signed a contract for, I've been promised 2 callbacks and a $50 credit. Apparently being a loyal customer means nothing.","@236750 We are here to help, please follow and DM us.
^ACM",1.0000000000000002,escalation,True,False,False
VZ-067,"@VerizonSupport Yes, it's next to the router.",I03,I03,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Great, if you have the white unit hold down the alarm silence button for 20 secs. The black unit will have a reset button.","@VerizonSupport Yes, it's next to the router.","@674666 Great, if you have the white unit hold down the alarm silence button for 20 secs. The black unit will have a reset button. ^JRA",1.0,troubleshooting,True,False,False
VZ-068,"@VerizonSupport I plan on returning an item, and might have lost my Receipt do I need that for a return",I12,I12,True,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-069,@115725 what happened to you? I remember when I used to get 50mb down. Now this. No good. https://t.co/X9jDS0FoIf,I02,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,0.0,,False,False,False
VZ-070,@VerizonSupport My optimum landline is fine,I09,I09,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,0.0,,False,False,False
VZ-071,@VerizonSupport No. I had the router replaced a month or so ago because we kept losing internet. It is still not back.,I01,I03,False,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,"Thanks for reaching out. We found a related historical case, but it does not provide enough actionable information to safely recommend a fix. A support agent should review this.",@VerizonSupport No. I had the router replaced a month or so ago because we kept losing internet. It is still not back.,@747209 We'd like to investigate further. Please follow and DM us at your convenience. ^DDD,1.0,escalation,True,True,False
VZ-072,"Hey @115722 I just had my service installed and purchased a G1100 router because I was told it was ""required"" - turns out its not. How can I go about returning it?",I03,I08,False,True,Installation or technician scheduling requires account-specific action.,"Thanks for reaching out. Installation and technician scheduling require account-specific assistance, so a support agent should review the details with you.","Hey @115722 I just had my service installed and purchased a G1100 router because I was told it was ""required"" - turns out its not. How can I go about returning it?",@351553 Let's take a look. how long ago did you start service with us amd purchase that router? ^RMD,1.0,clarification,True,False,False
VZ-073,@115722 It's cheaper for me to cancel my service and return as a new customer. Why don't I just not come back while I'm at it?,I11,I11,True,True,Customer complaint requires human support intervention.,We're sorry for the frustration. This needs to be reviewed by a human support agent so they can look into the issue and assist you directly.,,,0.0,,False,False,False
