tweet_id,created_at,text,clean_text,cluster
124570,Fri Nov 24 01:38:14 +0000 2017,@VerizonSupport There's nowhere on my web profile to opt out of postal spam. I want the Fios promotional mailings to cease.  The alternative is I get a louder ringtone &amp; end my landline of 30 years. Given the situation can you direct me where I may opt out of fios postal spam? ty,there's nowhere on my web profile to opt out of postal spam. i want the fios promotional mailings to cease. the alternative is i get a louder ringtone end my landline of 30 years. given the situation can you direct me where i may opt out of fios postal spam? ty,3
124521,Fri Nov 24 01:45:08 +0000 2017,@115722 YOU HAVE THE WORST FUCKING SERVICE EVER. MY FUCKING INTERNET IS DOWN ONCE AGAIN. NO ONE IS IN YOUR OFFICE TO HELP ME. YOU SUCK. WE PAY FOR A PREMIUM SERVICE BUT OUR INTERNET IS DOWN,you have the worst fucking service ever. my fucking internet is down once again. no one is in your office to help me. you suck. we pay for a premium service but our internet is down,0
124517,Fri Nov 24 01:49:37 +0000 2017,@VerizonSupport No. It just keeps blinking. The WiFi light isn’t on. The earth light keeps blinking,no. it just keeps blinking. the wifi light isn’t on. the earth light keeps blinking,6
124560,Fri Nov 24 01:51:13 +0000 2017,@VerizonSupport power is verified i just need cable and wifi,power is verified i just need cable and wifi,6
124572,Fri Nov 24 01:53:28 +0000 2017,@VerizonSupport Got it. Thank you.,got it. thank you.,10
125614,Fri Nov 24 01:54:16 +0000 2017,@VerizonSupport It just never works,it just never works,6
124514,Fri Nov 24 01:55:39 +0000 2017,@VerizonSupport There are no outages in my area. The TV works fine. It’s just the internet. This always happens. Please help me with this issue. Shoot a signal to my router https://t.co/JqQew9kVLV,there are no outages in my area. the tv works fine. it’s just the internet. this always happens. please help me with this issue. shoot a signal to my router,5
125607,Fri Nov 24 02:02:23 +0000 2017,@115722 all of that talk about fiber optic network and i cant watch a minute of football on thanksgiving without the screen freezing. Thanks.,all of that talk about fiber optic network and i cant watch a minute of football on thanksgiving without the screen freezing. thanks.,1
124524,Fri Nov 24 02:06:45 +0000 2017,@VerizonSupport home-office-solutions/wireless-home-phone,home-office-solutions/wireless-home-phone,7
125609,Fri Nov 24 02:17:25 +0000 2017,@VerizonSupport Yes that’s the first thing I did and I did it 16 times,yes that’s the first thing i did and i did it 16 times,4
125603,Fri Nov 24 02:19:33 +0000 2017,@VerizonSupport Everything is secure. This pops up every other minute. Have hard reset the VMS several times along with the local box. https://t.co/bvARgCbkqc,everything is secure. this pops up every other minute. have hard reset the vms several times along with the local box.,10
125599,Fri Nov 24 02:22:58 +0000 2017,@115990 i think it is working. not sure why it wasn’t. but now my FIOS box keeps beeping loud every 15 min and needs battery replacement; no one working tonight.,i think it is working. not sure why it wasn’t. but now my fios box keeps beeping loud every 15 min and needs battery replacement; no one working tonight.,10
124533,Fri Nov 24 02:29:29 +0000 2017,@VerizonSupport I have four cordless phones but only one actually uses a phone jack. The other three are plugged into an electric outlet.,i have four cordless phones but only one actually uses a phone jack. the other three are plugged into an electric outlet.,7
125595,Fri Nov 24 02:32:54 +0000 2017,@115725 how long after I pay my bill before I receive my reward point? The offer I want expires in  an hour or so.,how long after i pay my bill before i receive my reward point? the offer i want expires in an hour or so.,10
125590,Fri Nov 24 02:37:28 +0000 2017,"@VerizonSupport Cant seem to connect to internet. We've rebooted the router few times, no connection","cant seem to connect to internet. we've rebooted the router few times, no connection",9
125587,Fri Nov 24 02:39:43 +0000 2017,@VerizonSupport outages in Rhode Island? Our Internet is down for the millionth time.,outages in rhode island? our internet is down for the millionth time.,0
124537,Fri Nov 24 02:47:30 +0000 2017,@VerizonSupport Now disconnected cordless and attached corded. There's a dial tone but not ringing when I call.,now disconnected cordless and attached corded. there's a dial tone but not ringing when i call.,10
124541,Fri Nov 24 02:49:34 +0000 2017,@VerizonSupport Yes it's on. On all the phones.,yes it's on. on all the phones.,4
125589,Fri Nov 24 02:54:55 +0000 2017,"@VerizonSupport Yes, we're on the phone with Verizon now. Back up battery has been removed, no internet. We're scheduling a visit tomorrow","yes, we're on the phone with verizon now. back up battery has been removed, no internet. we're scheduling a visit tomorrow",7
126561,Fri Nov 24 03:05:28 +0000 2017,@VerizonSupport Yes but fios doesn't show up on the connection list.,yes but fios doesn't show up on the connection list.,4
126559,Fri Nov 24 03:15:02 +0000 2017,"Dear @115725 it's difficult 4 me 2 describe how much ass u suck. If u weren't my carrier I would blow chunks ev time I spoke ur name. Unfortunately u r, so I beg of you, pls let me have 1 mo 2 easily pay my bill. just 1.","dear it's difficult 4 me 2 describe how much ass u suck. if u weren't my carrier i would blow chunks ev time i spoke ur name. unfortunately u r, so i beg of you, pls let me have 1 mo 2 easily pay my bill. just 1.",6
126563,Fri Nov 24 03:31:30 +0000 2017,@VerizonSupport It looks like it is fixed. It was the security type.  Thanks!,it looks like it is fixed. it was the security type. thanks!,10
127526,Fri Nov 24 03:52:49 +0000 2017,@VerizonSupport have no idea what that is so prob not,have no idea what that is so prob not,10
127524,Fri Nov 24 03:56:29 +0000 2017,@VerizonSupport I know when I'm playing a game and I teleport for like 5 seconds and wireless,i know when i'm playing a game and i teleport for like 5 seconds and wireless,10
127520,Fri Nov 24 04:10:07 +0000 2017,@VerizonSupport ok i ran one my dude,ok i ran one my dude,10
128538,Fri Nov 24 04:28:58 +0000 2017,@VerizonSupport Are you experiencing an internet outage in Rhode Island?,are you experiencing an internet outage in rhode island?,11
128535,Fri Nov 24 04:33:32 +0000 2017,@VerizonSupport Just did a third reboot and no luck. Still red. Also went to check main box in basement and all is green there.,just did a third reboot and no luck. still red. also went to check main box in basement and all is green there.,6
128540,Fri Nov 24 04:37:07 +0000 2017,@115722 request to install fios is pending forever. Says building contacted but no one actually called the building manager. Vz promised fios to be available everywhere in NYC - when the promise is going to be kept?,request to install fios is pending forever. says building contacted but no one actually called the building manager. vz promised fios to be available everywhere in nyc - when the promise is going to be kept?,3
128530,Fri Nov 24 04:48:06 +0000 2017,@VerizonSupport Cable box light is still red.,cable box light is still red.,1
128527,Fri Nov 24 05:00:18 +0000 2017,@VerizonSupport Thanks again and great job!,thanks again and great job!,10
135895,Fri Nov 24 05:14:14 +0000 2017,"@146623 @115725 and while you're at it, fix your fucking network.","and while you're at it, fix your fucking network.",10
130085,Fri Nov 24 06:31:17 +0000 2017,"@VerizonSupport Cool, is there a site that doesn't require my blood type and my zodiac sign to figure out if service is available?","cool, is there a site that doesn't require my blood type and my zodiac sign to figure out if service is available?",10
138690,Fri Nov 24 10:53:03 +0000 2017,The best way to keep your @115725 bill low is to not use @115725. #chiselers #cheats #swindlers #thieves,the best way to keep your bill low is to not use . chiselers cheats swindlers thieves,10
145484,Fri Nov 24 13:37:26 +0000 2017,@148983 @116602 I am probably going to unplug Verizon FiOS in 2018. Think I signed a 2 yr deal that needs to roll off.,i am probably going to unplug verizon fios in 2018. think i signed a 2 yr deal that needs to roll off.,2
145481,Fri Nov 24 13:45:07 +0000 2017,@115722 the guide delay is happening more and more. Sometimes waiting minutes for it to show up. https://t.co/JbKrykfAU0,the guide delay is happening more and more. sometimes waiting minutes for it to show up.,10
150217,Fri Nov 24 14:13:09 +0000 2017,Hey @115725 why do I pay for the ‘sports package’ and do not get the #sec network?,hey why do i pay for the ‘sports package’ and do not get the sec network?,11
147697,Fri Nov 24 14:15:02 +0000 2017,@115722 can you please tell me the latest model number for the quantum Dvr,can you please tell me the latest model number for the quantum dvr,10
147703,Fri Nov 24 14:21:34 +0000 2017,@8642.  Area code is 20003.  Verizon FIOS about to be installed.  Can I get MASN/MASN2 with your service?,. area code is 20003. verizon fios about to be installed. can i get masn/masn2 with your service?,2
147692,Fri Nov 24 14:26:28 +0000 2017,@115722 locked out of my account on #blackfriday and no one is picking up the phone.  On hold for an hour. #verizonsucks.,locked out of my account on blackfriday and no one is picking up the phone. on hold for an hour. verizonsucks.,7
147695,Fri Nov 24 14:31:35 +0000 2017,"@VerizonSupport Yes , I’m wondering what the newest model dvr is, the volume is not working on mine, I just tried everything, reboot cables my game system is giving volume","yes , i’m wondering what the newest model dvr is, the volume is not working on mine, i just tried everything, reboot cables my game system is giving volume",6
147683,Fri Nov 24 14:35:11 +0000 2017,@VerizonSupport I need to adjust my Fios Internet. I tried calling customer service but no body was talking.,i need to adjust my fios internet. i tried calling customer service but no body was talking.,8
147682,Fri Nov 24 14:41:19 +0000 2017,@VerizonSupport I want to cancel my service but cant get past the IVR. Can you give me a call,i want to cancel my service but cant get past the ivr. can you give me a call,10
150208,Fri Nov 24 14:48:27 +0000 2017,@VerizonSupport Repair techs on phone tell me there's an order for my line deletion today. Forward me to customer service billing to resolve that issue. But that department is closed today. My 20yr old business line is going to be deleted today by Verizon's incompetence. HELP. @115725,repair techs on phone tell me there's an order for my line deletion today. forward me to customer service billing to resolve that issue. but that department is closed today. my 20yr old business line is going to be deleted today by verizon's incompetence. help.,10
150201,Fri Nov 24 15:07:55 +0000 2017,@VerizonSupport WHY IS THERE NO OPTION TO PAY WITH A GIFT CARD?,why is there no option to pay with a gift card?,10
150198,Fri Nov 24 15:11:34 +0000 2017,@VerizonSupport The back of the card literally says to apply to your bill go online. Why would you send me a gift card if I can’t use it?,the back of the card literally says to apply to your bill go online. why would you send me a gift card if i can’t use it?,10
150177,Fri Nov 24 15:21:42 +0000 2017,@115722 our WiFi hasn’t been working for almost 24 Hours now. Help.,our wifi hasn’t been working for almost 24 hours now. help.,5
150190,Fri Nov 24 15:22:57 +0000 2017,@VerizonSupport Why is My Verizon down? It's been down a lot lately.,why is my verizon down? it's been down a lot lately.,2
152500,Fri Nov 24 15:27:45 +0000 2017,"Another day here in Bensalem.. &amp; again, @115900 cable/internet/phone is down. AGAIN. That @115725 #Fios is looking better &amp; better...","another day here in bensalem.. again, cable/internet/phone is down. again. that fios is looking better better...",0
152494,Fri Nov 24 15:32:51 +0000 2017,What is @115722 doing to stop onslaught of robocallers spoofing local caller ID? Seemingly nothing.,what is doing to stop onslaught of robocallers spoofing local caller id? seemingly nothing.,10
152489,Fri Nov 24 15:37:32 +0000 2017,"Hey @115722 I just hit minute 36 on hold for ""support."" Both internet and cable haven't worked for days. I've only had your service for a week and it's already the worst consumer experience of my life. I just want the product I paid for. This sucks @115725 @VerizonSupport","hey i just hit minute 36 on hold for ""support."" both internet and cable haven't worked for days. i've only had your service for a week and it's already the worst consumer experience of my life. i just want the product i paid for. this sucks",6
152491,Fri Nov 24 15:37:58 +0000 2017,@VerizonSupport I have fits and a Samsung Smart TV. I cannot connect to the internet with it. What is Fios nYc dns servers?,i have fits and a samsung smart tv. i cannot connect to the internet with it. what is fios nyc dns servers?,0
152487,Fri Nov 24 15:51:46 +0000 2017,@VerizonSupport Nevermind. Your boy in upstate New York finally answered. He was actually quite nice! Just wish it didn't take so long. Peace out.,nevermind. your boy in upstate new york finally answered. he was actually quite nice! just wish it didn't take so long. peace out.,6
154646,Fri Nov 24 16:10:43 +0000 2017,"@115725 it’s pretty bad when the Verizon Jetpack has better connection, than Verizon FIOS...","it’s pretty bad when the verizon jetpack has better connection, than verizon fios...",2
157349,Fri Nov 24 16:23:13 +0000 2017,"@115725 fix your wait time, I’ve been trying to contact you guys since Wed. &amp; it’s Friday. I’VE BEEN ON HOLD FOR TWO HOURS IN TOTAL 😡 https://t.co/Vctz2PZ8e5","fix your wait time, i’ve been trying to contact you guys since wed. it’s friday. i’ve been on hold for two hours in total 😡",10
154644,Fri Nov 24 16:34:25 +0000 2017,@VerizonSupport It’s not strong upstairs.,it’s not strong upstairs.,10
150189,Fri Nov 24 16:52:24 +0000 2017,@VerizonSupport Still showing this. https://t.co/sCgo0HmBMv,still showing this.,10
157351,Fri Nov 24 17:01:48 +0000 2017,@VerizonSupport how can I get support when I am unable to even DM you?,how can i get support when i am unable to even dm you?,10
157343,Fri Nov 24 17:04:26 +0000 2017,@115725 @VerizonSupport Yes under Mary Ann Brandow not sure of the number,yes under mary ann brandow not sure of the number,4
114791,Fri Nov 24 17:20:32 +0000 2017,@VerizonSupport soooooo you’re telling me that your service aren’t what you guys display on television? that i’m not guaranteed reliable wifi services? you’re saying it’s a hit or miss with your wireless internet? you’re telling me i should switch services?,soooooo you’re telling me that your service aren’t what you guys display on television? that i’m not guaranteed reliable wifi services? you’re saying it’s a hit or miss with your wireless internet? you’re telling me i should switch services?,0
157341,Fri Nov 24 17:22:20 +0000 2017,5 minutes away from switching from @115722 to @115955 because why pay 4 times as much for worse service,5 minutes away from switching from to because why pay 4 times as much for worse service,10
152493,Fri Nov 24 17:22:23 +0000 2017,@VerizonSupport Sure. They’re random and all seemingly my local AC and exchange.,sure. they’re random and all seemingly my local ac and exchange.,10
157326,Fri Nov 24 17:22:54 +0000 2017,"Ugh sad
I had 19 messages saved from daughters on phone for 10 years &amp; now 13 are gone
How does this happen @VerizonSupport",ugh sad i had 19 messages saved from daughters on phone for 10 years now 13 are gone how does this happen,7
114793,Fri Nov 24 17:26:47 +0000 2017,@VerizonSupport thanks for the chat and not being able to help me with my service. #beblessed,thanks for the chat and not being able to help me with my service. beblessed,5
157322,Fri Nov 24 17:30:15 +0000 2017,@VerizonSupport hi I had a question why is my order still being processed? It’s been 3 days,hi i had a question why is my order still being processed? it’s been 3 days,10
157339,Fri Nov 24 17:30:20 +0000 2017,@VerizonSupport Im paying 170 a month for just internet and cable with only 4 boxes and only 1 is hd.... I can get 4 boxes hd and internet from spectrum 80 dollars cheaper,im paying 170 a month for just internet and cable with only 4 boxes and only 1 is hd.... i can get 4 boxes hd and internet from spectrum 80 dollars cheaper,0
157324,Fri Nov 24 17:31:24 +0000 2017,@VerizonSupport On my cell,on my cell,10
157317,Fri Nov 24 17:33:33 +0000 2017,"A ginormous shout out to Kevin @115725 in Webster, NY, for superior customer service on a busy Black Friday.","a ginormous shout out to kevin in webster, ny, for superior customer service on a busy black friday.",8
159757,Fri Nov 24 17:38:17 +0000 2017,"Verizon service is so bad.  I have had about 5 guys come to fix my wifi ,, I can not get good wifi in the next room.. An it runs slow .I was told I an at the end of the line  .
BUT they just went up $ 5.00 dollars on my bill","verizon service is so bad. i have had about 5 guys come to fix my wifi ,, i can not get good wifi in the next room.. an it runs slow .i was told i an at the end of the line . but they just went up $ 5.00 dollars on my bill",6
159755,Fri Nov 24 17:40:27 +0000 2017,Downloading a 50gb file from #PS4 store makes my @115722 unusable on every other device.  Glad I pay all of that money for this bs. #fail,downloading a 50gb file from ps4 store makes my unusable on every other device. glad i pay all of that money for this bs. fail,10
157309,Fri Nov 24 17:43:07 +0000 2017,@VerizonSupport We have FIOS,we have fios,3
159749,Fri Nov 24 18:18:21 +0000 2017,Hey @115725 @VerizonSupport I’ve been on hold FOREVER trying to help my 85 yo mom with her bill. How hard is it to get a human??,hey i’ve been on hold forever trying to help my 85 yo mom with her bill. how hard is it to get a human??,5
160757,Fri Nov 24 18:41:36 +0000 2017,can't wait to get this @116136 survey... worst experience ever #WishICouldHaveVerizon @115725,can't wait to get this survey... worst experience ever wishicouldhaveverizon,10
162447,Fri Nov 24 18:49:04 +0000 2017,@115725 is there anyone working in customer service today?  After 45 minutes on hold you hung up on me!,is there anyone working in customer service today? after 45 minutes on hold you hung up on me!,8
164405,Fri Nov 24 19:08:36 +0000 2017,"@VerizonSupport hey I know I've been with you for a while now and we've had some ups and downs while I move/have job trouble but it'd be cool if when I make a payment arrangement that gets accepted, you guys don't decide to cut my service anyway","hey i know i've been with you for a while now and we've had some ups and downs while i move/have job trouble but it'd be cool if when i make a payment arrangement that gets accepted, you guys don't decide to cut my service anyway",10
164411,Fri Nov 24 19:15:55 +0000 2017,Hey @115725 it’s not cool that you change the appointment I made without telling me.  I waited for 5 hours for nothing!!!,hey it’s not cool that you change the appointment i made without telling me. i waited for 5 hours for nothing!!!,10
164401,Fri Nov 24 19:21:38 +0000 2017,Going to small courts against @VerizonSupport!,going to small courts against !,10
164399,Fri Nov 24 19:24:54 +0000 2017,"@VerizonSupport We've been on call with ""customer no care"" for one hour over fraudulent Jamaica call","we've been on call with ""customer no care"" for one hour over fraudulent jamaica call",10
164394,Fri Nov 24 19:27:47 +0000 2017,@115722 I do regret every second why we switched our services with you.  Your internet connection sucks considering I’m right beside the router.👎🏼🖕🏼 https://t.co/wUN8JnTGdo,i do regret every second why we switched our services with you. your internet connection sucks considering i’m right beside the router.👎🏼🖕🏼,9
164390,Fri Nov 24 19:31:56 +0000 2017,@VerizonSupport Yes she is please DM me for details,yes she is please dm me for details,4
114795,Fri Nov 24 19:32:40 +0000 2017,@VerizonSupport in the master bedroom. and i’m trying to access it in the master bedroom. like right now the service is being interfered. i think i’m going to have to switch providers!,in the master bedroom. and i’m trying to access it in the master bedroom. like right now the service is being interfered. i think i’m going to have to switch providers!,10
164388,Fri Nov 24 19:36:46 +0000 2017,"@115722 called Verizon for help, my Internet is out for the thousandth time, and they said there were not able to help? With what I pay, customer service should be better","called verizon for help, my internet is out for the thousandth time, and they said there were not able to help? with what i pay, customer service should be better",5
164383,Fri Nov 24 19:48:48 +0000 2017,@115725 IT HAS BEEN OVER 1 MONTH!!! GIVE ME MY MONEY! THIEVES! AND YOU HAVE TERRIBLE CUSTOMER SERVICE!,it has been over 1 month!!! give me my money! thieves! and you have terrible customer service!,8
164386,Fri Nov 24 19:49:37 +0000 2017,@115725 I was speaking with someone and she hung up on me! Disgusting customer service,i was speaking with someone and she hung up on me! disgusting customer service,8
166960,Fri Nov 24 19:56:16 +0000 2017,"@154798 @VerizonSupport The only way to get @VerizonSupport to help you, is to call them out on Twitter, and then miraculously they start to call you back. They only seem to want to help you when you bash them publicly. #verizonsucks","the only way to get to help you, is to call them out on twitter, and then miraculously they start to call you back. they only seem to want to help you when you bash them publicly. verizonsucks",5
164382,Fri Nov 24 20:02:42 +0000 2017,@VerizonSupport mobile phone account,mobile phone account,7
166965,Fri Nov 24 20:07:09 +0000 2017,"Hey @115725 how about you job train your employees before putting them on the phones, teach them to actually call within the week if they say they will, &amp; not punish the customer for ""billing mistakes"" occurred months ago. No wonder you're one of the most hated companies around.","hey how about you job train your employees before putting them on the phones, teach them to actually call within the week if they say they will, not punish the customer for ""billing mistakes"" occurred months ago. no wonder you're one of the most hated companies around.",11
166958,Fri Nov 24 20:12:19 +0000 2017,Why are your online services so trash? @VerizonSupport,why are your online services so trash?,10
169102,Fri Nov 24 20:42:04 +0000 2017,"@115722 ONT isn’t functioning properly, Ethernet works, WiFi doesn’t then Ethernet drops, tried coax for the connection Vs WAN, same issue","ont isn’t functioning properly, ethernet works, wifi doesn’t then ethernet drops, tried coax for the connection vs wan, same issue",3
169112,Fri Nov 24 20:49:11 +0000 2017,@VerizonSupport Today I go on to watch hbo on demand and the picture isn’t coming in and I get an error message,today i go on to watch hbo on demand and the picture isn’t coming in and i get an error message,1
169109,Fri Nov 24 20:54:18 +0000 2017,@VerizonSupport Just this app.,just this app.,6
169100,Fri Nov 24 20:57:06 +0000 2017,"@VerizonSupport Yes it is, sometimes it will stay white but with no connection, tried to reset to factory default with no custom settings, the tests the tech did were inconclusive, said we will be receiving a call to upgrade the ONT","yes it is, sometimes it will stay white but with no connection, tried to reset to factory default with no custom settings, the tests the tech did were inconclusive, said we will be receiving a call to upgrade the ont",10
169098,Fri Nov 24 21:04:45 +0000 2017,@VerizonSupport I hope so!,i hope so!,10
169096,Fri Nov 24 21:07:07 +0000 2017,@VerizonSupport right so. For the past 3 weeks my internet has been shotty and only getting worse. The random disconnects and down times are killing me here and I don't know what to do,right so. for the past 3 weeks my internet has been shotty and only getting worse. the random disconnects and down times are killing me here and i don't know what to do,0
169091,Fri Nov 24 21:08:43 +0000 2017,@115725 She's not on Twitter.  She called and spoke to a very rude manager who treated her with such disrespect. Why should a Sr Cit not have access to good customer service thru regular means?,she's not on twitter. she called and spoke to a very rude manager who treated her with such disrespect. why should a sr cit not have access to good customer service thru regular means?,8
169090,Fri Nov 24 21:29:35 +0000 2017,@VerizonSupport I'll let her know and pass the baton.  Hopefully someone can explain why her bill increased without her knowledge or consent.,i'll let her know and pass the baton. hopefully someone can explain why her bill increased without her knowledge or consent.,10
171358,Fri Nov 24 21:52:13 +0000 2017,What a bunch of horse shit !!! @VerizonSupport Taylor is not a fkn help at all. This service from him/her sucks,what a bunch of horse shit !!! taylor is not a fkn help at all. this service from him/her sucks,5
169080,Fri Nov 24 22:29:56 +0000 2017,"@VerizonSupport Still nothing Jay, an hour later.  No progress, no help.","still nothing jay, an hour later. no progress, no help.",5
