case_id,customer_text,gold_intent,predicted_intent,intent_correct,should_escalate,escalation_reason,reply,selected_evidence_customer,selected_evidence_reply,selected_evidence_similarity,selected_evidence_response_type,evidence_available,evidence_selected
VZ-004,@VerizonSupport Cellular. I’ve opened a fraud case however it takes too long to reach a person and your service reps are rude. Very long process to address something I️ didn’t do.,I10,I10,True,True,Account fraud or unauthorized activity requires human review.,"Thanks for flagging this. Because this involves potential unauthorized activity, a human support agent should review the account securely.",@VerizonSupport Cellular.  I’ve opened a fraud case however it takes too long to reach a person and your service reps are rude.  Very long process to address something I️ didn’t do.,"@793386 Let’s get you over to our partner’s @115990 and they will assist you with your wireless concerns.
^TDC",1.0,unknown,True,True
VZ-005,@VerizonSupport I cancelled my contract a month ago when I moved; why am I still being billed? Why do I have an appt for installation? Why did your agent hang up on me?,I07,I08,False,True,Installation or technician scheduling requires account-specific action.,"Thanks for reaching out. Installation and technician scheduling require account-specific assistance, so a support agent should review the details with you.",,,,,True,False
VZ-006,I have Comcast for $39 per month. Was looking at Fios internet for $39 for first year. What is price after the first year? @115722,I12,I07,False,True,Billing or payment issues may require account-specific verification.,"Thanks for reaching out. Billing and payment issues may require account-specific verification, so a support agent should review the account details with you.",I have Comcast for $39 per month. Was looking at Fios internet for $39 for first year. What is price after the first year? @115722,@168162 We appreciate you interest. Pricing can vary for certain markets. Were you also planning on using your own router? ^JRA,1.0,clarification,True,True
VZ-008,@241809 @532384 @70596 @532385 https://t.co/wHCsWh1jlD same this is ridiculous @VerizonSupport,I12,I11,False,True,Customer complaint requires human support intervention.,We're sorry for the frustration. This needs to be reviewed by a human support agent so they can look into the issue and assist you directly.,@241809 @532384 @70596 @532385 https://t.co/wHCsWh1jlD same this is ridiculous @VerizonSupport,"@160162 Were those test results over a wireless or hardwired connection?
^HSB",1.0,clarification,True,True
VZ-009,I have never had such a bad experience with a carrier during my initial sign up @115725 @VerizonSupport has the most HORRIBLE customer service i have EVER encountered .,I11,I11,True,True,Customer complaint requires human support intervention.,We're sorry for the frustration. This needs to be reviewed by a human support agent so they can look into the issue and assist you directly.,I have never had such a bad experience with a carrier during my initial sign up @115725 @VerizonSupport has the most HORRIBLE customer service i have EVER encountered .,"@241807 Hi Bran, is this for Verizon Wireless or Fios?
^FEM",1.0,clarification,True,True
VZ-012,Everyday from 5pm to 630pm @115725 service just goes to shit in Boston.,I02,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,,,True,False
VZ-013,@VerizonSupport your cust. Ser. Has gotten ridiculous in the last year. Hold time of 20-30 mins. I wait... I specially said...,I11,I11,True,True,Customer complaint requires human support intervention.,We're sorry for the frustration. This needs to be reviewed by a human support agent so they can look into the issue and assist you directly.,@VerizonSupport your cust. Ser. Has gotten ridiculous in the last year. Hold time of 20-30 mins. I wait... I specially said...,@193083 We hate to hear that you're having a bad experience.  What has you calling in today? ^BCW,1.0,clarification,True,True
VZ-015,FUCK YOU @115725 seriously. https://t.co/orwEsOgdRI,I12,I12,True,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,,,True,False
VZ-018,"@105357 representative Eric Brown messed up my order for @115722, leaves me hanging on incorrect bill for months, now says he can't fix it. Fraudulent sales rep! Seriously avoid if you don't want to lose your money.",I07,I10,False,True,Account fraud or unauthorized activity requires human review.,"Thanks for flagging this. Because this involves potential unauthorized activity, a human support agent should review the account securely.","@105357 representative Eric Brown messed up my order for @115722, leaves me hanging on incorrect bill for months, now says he can't fix it. Fraudulent sales rep! Seriously avoid if you don't want to lose your money.",@766942 That's terrible.  Is the agent working working to correct your account?  ^CAR,1.0,clarification,True,True
VZ-020,"@VerizonSupport It's to everything and at random times. It can last for a couple of hours or a couple of days. Right now it seems to have subsided from where it was when I initially tweeted, so doing a tracert isn't showing anything unusual. Ping shows some random delay getting to Google https://t.co/JV04H9IYBZ",I02,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,,,True,False
VZ-027,"The extra shit @115725 is trying to sell right now is ridiculous. Caller ID? What is this 1990? Voicemail to text? You know our phones already do that, right?",I05,I09,False,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Is this for your Verizon residential or Verizon wireless mobile?,"The extra shit @115725 is trying to sell right now is ridiculous. Caller ID? What is this 1990? Voicemail to text? You know our phones already do that, right?","@482028 Is this for your Verizon residential or Verizon wireless mobile?
^ADP",0.9999999999999998,clarification,True,True
VZ-030,"@VerizonSupport so many problems with FIOS TV. viz: when a program scheduled for DVR is delayed, the desired recording is not made.",I04,I08,False,True,Installation or technician scheduling requires account-specific action.,"Thanks for reaching out. Installation and technician scheduling require account-specific assistance, so a support agent should review the details with you.","@VerizonSupport so many problems with FIOS TV.  viz: when a program scheduled for DVR is delayed, the desired recording is not made.","@304354 We do apologize. If a program is delayed by the broadcaster, the recording is set for a window of time not by the program name. 
^TDC",1.0,unknown,True,True
VZ-034,@VerizonSupport Waiting for an hour on the phone to order Verizon Fios. Do you guys not like making money. I waited on the phone for 3 mins with @116136,I08,I12,False,True,"Intent is unclear, so the agent should not guess.",Thanks for reaching out. We need a little more information to understand the issue before we can provide the right next step.,,,,,True,False
VZ-036,"@VerizonSupport It almost feels like an account provisioning issue, but I don’t recall making any changes to the channel lineup recently.",I04,I07,False,True,Billing or payment issues may require account-specific verification.,"Thanks for reaching out. Billing and payment issues may require account-specific verification, so a support agent should review the account details with you.","@VerizonSupport It almost feels like an account provisioning issue, but I don’t recall making any changes to the channel lineup recently.",@359452 That error message is associated to a signal issue.  ^CAR,1.0,troubleshooting,True,True
VZ-044,"hey @VerizonSupport , i've got internet speeds way below what I pay for and your ""optimizer"" only works on Windows? what the fuck gives?",I02,I02,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,,,True,False
VZ-070,@VerizonSupport My optimum landline is fine,I09,I09,True,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=1.000).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,,,True,False
VZ-164,@VerizonSupport I believe so the tax amount is higher than the rate!,I07,I07,True,True,Billing or payment issues may require account-specific verification.,"Thanks for reaching out. Billing and payment issues may require account-specific verification, so a support agent should review the account details with you.",,,,,True,False
VZ-055,@VerizonSupport i have tried to do a chat and find out what is going on with my bill and no one is available.,I07,I07,True,True,Billing or payment issues may require account-specific verification.,"Thanks for reaching out. Billing and payment issues may require account-specific verification, so a support agent should review the account details with you.",@VerizonSupport i have tried to do a chat and find out what is going on with my bill and no one is available.,"@217888 We can help you here. What questions do you have with your bill? Please follow and DM us so we can further assist. 
^ADP",1.0,escalation,True,True
VZ-092,@VerizonSupport Hi 👋🏻 How do I disenroll from Voice Mail to Text? I didn't request it 😳,I09,I09,True,False,Historical troubleshooting/action evidence was sufficiently similar and suitable for grounding.,Are you referring to your wireless device or home service?,@VerizonSupport Hi 👋🏻 How do I disenroll from Voice Mail to Text? I didn't request it 😳,"@240578 Are you referring to your wireless device or home service?
^JAY",0.9999999999999998,clarification,True,True
VZ-041,"@VerizonSupport When we get @115722 in the 20036 zip for businesses? Mobile, home, work customer, but need faster speed!",I12,I02,False,True,Retrieved evidence did not contain a sufficiently actionable and safe historical resolution (best similarity=0.447).,Thanks for reaching out. A support agent should review the details and help determine the appropriate next step.,,,,,True,False
