case_id,customer_tweet_id,customer_created_at,customer_text,support_tweet_id,support_created_at,historical_verizon_reply,intent_label,intent_confidence,should_escalate,escalation_reason,expected_resolution,review_notes,prelabel_intent
VZ-021,1678822,Mon Nov 06 15:26:29 +0000 2017,@VerizonSupport Simple: I want to cancel my service.,1678824,Mon Nov 06 15:28:24 +0000 2017,"@510599 You want to cancel it for Verizon residential or Verizon Wireless mobile?
^ADP",,,,,,,I12
VZ-022,2648827,Sun Nov 19 03:03:50 +0000 2017,@VerizonSupport This is what happens after following the link: https://t.co/NKWAMIeEH9,2648826,Sun Nov 19 03:08:00 +0000 2017,@217290 Were there any promos or discounts that may have expired when you check page 3 of your bill? It should be listed on the right side. ^JRA,,,,,,,I12
VZ-023,1852104,Wed Oct 18 15:33:58 +0000 2017,@VerizonSupport Hi - I've reached out to a customer support rep on Twitter and FB and neither is replying. Can you please help?,1852103,Wed Oct 18 15:37:33 +0000 2017,@395465 Sure thing.  Is this for your cellular or residential service? ^BCW,,,,,,,I12
VZ-024,601096,Sun Dec 03 21:41:15 +0000 2017,@VerizonSupport Thanks. You guys took care of it!,601098,Sun Dec 03 21:44:00 +0000 2017,"@156495 Perfect, glad to hear. Thank you for letting us know. ^RMD",,,,,,,I12
VZ-025,647327,Wed Nov 22 18:16:54 +0000 2017,Shout out to @115725 for having the worst spam call filter out there. Ironically after I upgrade I start getting more and more calls. Time to switch.,647326,Wed Nov 22 18:18:26 +0000 2017,"@273759 We hate to hear that you're getting spam calls, Aaron.  Is this on your cellular or residential service? ^BCW",,,,,,,I12
VZ-026,688313,Thu Nov 23 14:03:07 +0000 2017,@6592 help please! Fios says you are showing encore of rangers game but feed is knicks encore! Tv provider says it’s your feed that is problem other msg has no feed!,688308,Thu Nov 23 14:08:30 +0000 2017,@284433 Is the feed incorrect on all tvs? ^DDG,,,,,,,I07
VZ-027,410879,Mon Oct 09 23:51:50 +0000 2017,@VerizonSupport I think they canceled my service and opened a new account. They said a tech had to come out (but the line is installed).,410878,Mon Oct 09 23:56:29 +0000 2017,"@212875 Understood, we are here for your support.
^JAY",,,,,,,I08
VZ-028,1232625,Sat Nov 25 19:31:26 +0000 2017,"@115725 does your company and customer service team have an interest in genuinely making customer issues right, or just taking my money and increasing prices yearly?",1232623,Sat Nov 25 19:36:00 +0000 2017,"@409089 We understand your concerns, let us partner you with @115990. 

^ADP",,,,,,,I11
VZ-029,2257287,Fri Nov 10 23:59:27 +0000 2017,@VerizonSupport Not the best first experience with phone support. Have been trying to change an installation date and deal with a billing error for over 35 minutes.,2257286,Sat Nov 11 00:01:00 +0000 2017,@657386 Are you currently on the phone with a rep Melanie? ^DDG,,,,,,,I07
VZ-030,817894,Thu Oct 12 21:03:44 +0000 2017,The quality @115725 network. https://t.co/epbQ1b5VnA #fixthis,817893,Thu Oct 12 21:09:00 +0000 2017,@154570 We're here for you Justin! Do you have DSL or Fios wtih us? ^DDG,,,,,,,I12
VZ-031,1255219,Fri Nov 10 03:01:56 +0000 2017,"@VerizonSupport Ok. So, I am not experiencing any issues with the game on TNT. However, on Tuesday of this week, while attempting to watch the Cavs game that was being played in Cleveland on the NBA Channel, it would not broadcast.",1255218,Fri Nov 10 03:04:04 +0000 2017,@414335 Was this happening on all your TVs? Were you getting a message that the game was being blacked out?  ^JRA,,,,,,,I04
VZ-032,380944,Mon Oct 09 09:19:40 +0000 2017,Cannot wait for @115722 to come to Southie so the only option is @115900 lousy service,380943,Mon Oct 09 09:26:29 +0000 2017,"@206346 We're always expanding our Fios footprint. You can check for avail and status here.  https://t.co/FhawCPd4c7 
^BAB",,,,,,,I12
VZ-033,1269275,Thu Oct 26 13:52:23 +0000 2017,"@VerizonSupport Had an install scheduled yesterday between 1-3, I called at 3:30 after no tech. I’m told the ticket never went thru. Had to reschedule",1269279,Thu Oct 26 13:55:00 +0000 2017,"@417195 200.00  service ticket ?  
^TDC",,,,,,,I08
VZ-034,2239362,Thu Oct 19 16:56:03 +0000 2017,@115725 I'm thinking about changing service providers. Any deals going on?,2239360,Thu Oct 19 16:56:53 +0000 2017,"@190869 Is this for Cellular or Home services?
^ACM",,,,,,,I12
VZ-035,2794731,Tue Nov 21 22:07:50 +0000 2017,@VerizonSupport So the rep I spoke to when I signed up lied to me?,2794732,Tue Nov 21 22:18:28 +0000 2017,"@779894 We can review the account to see if there are any notations regarding this promise. It could be possible that this was promised to you as a courtesy but this is not an option that we have regarding router rental. Follow and DM us to continue. 
^HSB",,,,,,,I11
VZ-036,1255345,Fri Nov 03 19:51:33 +0000 2017,@115725 I have Verizon. I wish I did not.,1529713,Fri Nov 03 19:54:00 +0000 2017,@474770 What did we do to make you feel this way and how can we fix things between us? ^KMG,,,,,,,I12
VZ-037,1629235,Sun Nov 05 15:30:27 +0000 2017,@VerizonSupport Hard wired. It's the computer my router is on,1629233,Sun Nov 05 15:32:00 +0000 2017,@438770 Can you please reboot the router and run that test again? ^BCW,,,,,,,I03
VZ-038,1632095,Sun Oct 22 16:28:08 +0000 2017,@VerizonSupport What is this test and how do I do it,1632094,Sun Oct 22 16:31:00 +0000 2017,"@348546 You plug an ethernet cable from your device to the router and go to  https://t.co/yMMRB4VWSM on that device to test speed.
^TDC",,,,,,,I12
VZ-039,1213984,Wed Oct 25 16:40:46 +0000 2017,@VerizonSupport So… are we not DMing anymore like your coworker told me to do?,1213983,Wed Oct 25 16:42:49 +0000 2017,"@404926 We need to bring up the account and secure it before we can send you a label.  This must be done in the secure chat.
^ACM",,,,,,,I12
VZ-040,792346,Thu Oct 12 16:32:59 +0000 2017,@VerizonSupport Really..... Use a Verizon program to test a Verizon service.... Won't be any bias there. 😂😂I attached a pic on my original comment.,792347,Thu Oct 12 17:09:53 +0000 2017,"@308938 Try. ^DDG
https://t.co/8yi4Bofxvm",,,,,,,I12
VZ-041,569740,Sun Dec 03 02:47:33 +0000 2017,@VerizonSupport The globe light on my router is solid red.. again,569739,Sun Dec 03 02:51:24 +0000 2017,"@253727 Do you know where the Battery Backup unit is located? 
^FEM",,,,,,,I03
VZ-042,431949,Tue Oct 10 15:38:31 +0000 2017,@VerizonSupport @217699 The order number was revised 3 times yet kept getting error. CS rep created new order but install is on Monday - 3 wks after initial order,431951,Tue Oct 10 15:40:30 +0000 2017,"@187879 Please let us know if you need any assistance. 
^ADP",,,,,,,I08
VZ-043,378619,Mon Oct 09 05:16:15 +0000 2017,"@205850 @115725 Hey Verizon, gonna get your bots on this or will you help",378621,Mon Oct 09 05:17:28 +0000 2017,"@205851 Certainly, how may we assist? 
^BAB",,,,,,,I12
VZ-044,1247602,Thu Oct 26 01:28:37 +0000 2017,"@VerizonSupport Just a blank screen. Seems like I’m getting no service to the house, both tv and internet.",1247604,Thu Oct 26 01:32:29 +0000 2017,"@412717 We would like to reboot the network terminal. Do you know where the battery backup unit is at in the home?
^HSB https://t.co/sGr8j3Nwdx",,,,,,,I04
VZ-045,1482750,Fri Nov 03 02:12:32 +0000 2017,"@115722 If I have Fios at home &amp; I'm at home, why doesn't your app let me watch everything that's on live TV? So frustrating",1482748,Fri Nov 03 02:15:25 +0000 2017,@316653 What are you trying to watch on the Fios Mobile app? ^DDD,,,,,,,I04
VZ-046,1084645,Mon Oct 23 17:44:19 +0000 2017,"@VerizonSupport Hi! Can someone walk me through why my bill is $64 less than what I normally pay? Not complaining, just don’t understand.",1084643,Mon Oct 23 17:46:29 +0000 2017,"@348942 Have you made any changes to your services recently?
^TNT",,,,,,,I07
VZ-047,2446687,Wed Nov 15 01:20:37 +0000 2017,"@VerizonSupport No, not that I know of. I’m not the account holder for the internet service since I rent a room in my house. But my roommates have told me this has been a problem all day.",2446686,Wed Nov 15 01:25:00 +0000 2017,"@701395 Thank you, since the internet is green it may be interference impacting your connectivity. When searching for wireless networks how many do you see listed? ^JRA",,,,,,,I12
VZ-048,463680,Fri Dec 01 03:41:55 +0000 2017,"@VerizonSupport Actually no, isn’t working with ABC Freeform either",463681,Fri Dec 01 03:45:27 +0000 2017,"@225237 Have you tried reseting the password? 
^BAB",,,,,,,I12
VZ-049,1205104,Tue Oct 17 01:49:09 +0000 2017,@VerizonSupport This is what I'm seeing. It's mounted about 7' off ground in basement https://t.co/dTVCwFGbfm,1205101,Tue Oct 17 01:51:00 +0000 2017,@403057 Press and hold the Reset button on power supply for 15 seconds. Give it 5 min and then check to see if your service comes back on. ^FEM,,,,,,,I12
VZ-050,2487645,Wed Nov 15 16:21:08 +0000 2017,"@115722 Why is it, that your love is all for new customers? Existing customers with bad deals get smacked around... New ones get gigabit connections for cheaper than me?",2487644,Wed Nov 15 16:24:31 +0000 2017,@710488 That's not true.  Our current customers can see what deals they are eligible for by logging in to their account and checking under the deals section. ^BCW,,,,,,,I12
VZ-051,616046,Wed Oct 11 03:12:36 +0000 2017,@VerizonSupport Who would I need to contact because if my voice will not be heard I will report to the EEOC and take further actions I’m sorry but I can’t,616045,Wed Oct 11 03:20:27 +0000 2017,"@266205 Is this a Verizon center or a Frontier center? 
^BAB",,,,,,,I12
VZ-052,481265,Fri Dec 01 13:52:06 +0000 2017,@VerizonSupport Only if someone can communicate the truth to me.  Otherwise I’m #done,481263,Fri Dec 01 13:55:49 +0000 2017,"@229394 Is this for your Verizon residential or Verizon wireless mobile?

^ADP",,,,,,,I12
VZ-053,1414296,Thu Nov 02 01:52:05 +0000 2017,"So now I have to figure out if I can get this damn router back, probably UPS it at my own expense if I can, and avoid FiOS like the plague",1414294,Thu Nov 02 01:58:56 +0000 2017,@448671 Our apologies as we never want to hear this. You can print prepaid labels from https://t.co/1ZRW7wQqG5  ^JRA,,,,,,,I03
VZ-054,1951547,Sun Oct 29 14:54:40 +0000 2017,@VerizonSupport Do a say what now lol?,1951546,Sun Oct 29 14:58:27 +0000 2017,@295973 HAHA! Can you plug the power cord and unscrew the coax cable from the cable box.  Wait 2 minutes and connect everything back.  ^CAR,,,,,,,I12
VZ-055,1304003,Fri Oct 27 01:26:41 +0000 2017,"had to completely reset my router in order to get my internet to work, and it's STILL slow! thanks, @115722!",1304001,Fri Oct 27 01:29:00 +0000 2017,@424709 Let's work on your speed issue! Can you run a wired speed test from a PC by any chance? ^DDD,,,,,,,I03
VZ-056,2759476,Tue Nov 21 04:30:13 +0000 2017,@VerizonSupport In order to watch showtime on my phone I need to download the app. I do not have enough storage to download the app.,2759474,Tue Nov 21 04:35:00 +0000 2017,"@395017 We will need to test from a different device if storage is not available. 
^BAB",,,,,,,I04
VZ-057,855295,Fri Oct 20 15:47:15 +0000 2017,@115722  are crooks. Charge you for installation that is not provided and refuse to credit,855294,Fri Oct 20 15:49:00 +0000 2017,"@159728 That is not the experience we want you to have. Please DM us the details we will take a closer look at it for you.
^TNT",,,,,,,I07
VZ-058,1194541,Mon Oct 16 00:18:55 +0000 2017,@115722 Is there a way to speak to someone on the phone?,1194538,Mon Oct 16 00:23:00 +0000 2017,"@400684 We can be reached by phone at 1-800-837-4966. The cable box is plugged into HDMI 1?
^HSB",,,,,,,I12
VZ-059,2521135,Sun Nov 26 19:42:37 +0000 2017,"@VerizonSupport ""There is an outage in your area. Our engineers are working on it. It is expected to be restored by 3:06 PM local time."" 

Hurry, halftime is almost over!",2521136,Sun Nov 26 19:45:28 +0000 2017,@718074 We are working.  ^CAR,,,,,,,I01
VZ-060,1839189,Tue Oct 17 19:51:57 +0000 2017,"Hey @VerizonSupport 
I'm told I need to get a repair estimate from an Authroized Verizon Repair Center for Insurance, but (1/2)",1839187,Tue Oct 17 19:55:26 +0000 2017,"@204068 Good question. We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts.  They will be in touch.
^HSB",,,,,,,I12
VZ-061,1961415,Mon Oct 30 23:07:05 +0000 2017,@VerizonSupport Right. I should try to get to a website with terrible phone service and no internet. Great advice,2625162,Mon Oct 30 23:11:00 +0000 2017,@581662 We'll be glad to investigate this for you. Please follow and DM us at your convenience. ^DDD,,,,,,,I05
VZ-062,2600046,Fri Nov 17 06:31:06 +0000 2017,"@VerizonSupport yes, i have the second model from the left.",2600044,Fri Nov 17 06:33:00 +0000 2017,"@306919 Hold down the Alarm Silence button for 15 seconds. 
^TXA",,,,,,,I12
VZ-063,1621550,Sun Nov 05 16:33:10 +0000 2017,@115722 Wait time went from more than 9 minutes to more than 24 minutes for Fios Tech Support.This is no way to compete with Direct TV!,1621549,Sun Nov 05 16:37:00 +0000 2017,@496869 There is not wait here.  Keep in mind DirectTV just does TV service.  We do all services.  How can we assist you?  ^CAR,,,,,,,I04
VZ-064,481294,Tue Nov 28 14:11:45 +0000 2017,@115725 This ad is misleading because it would seem the $300 is directly off the price of the phone. Disappointing. It’s based on phone trade in and my iPhone 6+ only gets me $160. Shame. I need a new phone desperately!,2890903,Tue Nov 28 14:13:00 +0000 2017,"@801443 Let me partner you with our Verizon Wireless team @115990.  
^CAR",,,,,,,I05
VZ-065,2495374,Mon Oct 30 00:47:35 +0000 2017,@VerizonSupport @45051 It’s Sunday evening and channel 510 in Boston is still in Spanish!  Two weeks to fix it before Pats play again.,2495373,Mon Oct 30 00:49:04 +0000 2017,@453831 Please come back into chat so we can see what is going on as we are showing that issue cleared. ^RMD,,,,,,,I04
VZ-066,481289,Fri Dec 01 13:45:08 +0000 2017,@VerizonSupport It would be an upgrade &amp; mobile,481287,Fri Dec 01 13:50:27 +0000 2017,"@229398 Please contact our friends @115990 for assistance with Verizon Mobile service.
^TXA",,,,,,,I12
VZ-067,328857,Tue Oct 24 01:37:47 +0000 2017,@115722 why is it that I upgraded my internet speed to 75/75 and now Twitter pics won't load?,328855,Tue Oct 24 01:39:35 +0000 2017,"@194411 Hi IrishLinds. Are you having a problem with your phone not loading pics?
^FEM",,,,,,,I02
VZ-068,916315,Fri Oct 13 20:18:16 +0000 2017,@115725 help? I’m supposed to be getting 150/150 don’t know why you guys are giving me this https://t.co/R5utewWJLE,916313,Fri Oct 13 20:19:31 +0000 2017,"@337559 Let us look into it for you. Ca you test it hardwired on the website below?
https://t.co/OmZK1YqEet

^TNT",,,,,,,I12
VZ-069,2756381,Tue Nov 21 02:02:54 +0000 2017,@115722 takes forever to put an episode on demand. @116136 puts it on demand the next day.,2756380,Tue Nov 21 02:05:00 +0000 2017,@512597 We'd like to collect your On Demand feedback! Please follow and DM us at your convenience. ^DDD,,,,,,,I04
VZ-070,1650602,Mon Nov 06 06:21:14 +0000 2017,@VerizonSupport Negative. They never do unless a work order is created.,1650600,Mon Nov 06 06:23:25 +0000 2017,"@504149 When calling in and speaking to a representative, a work order is created for the call. 
^BAB",,,,,,,I12
VZ-071,1165361,Tue Oct 24 19:28:59 +0000 2017,@VerizonSupport Thanks so much! I wound up calling and I'm TOLD I was put on a do not contact list. Fingers crossed! Thanks!,1165363,Tue Oct 24 19:32:30 +0000 2017,"@394109 Glad you were able to have this taken care of. If you ever need us in the future we are just a tweet away.
^HSB",,,,,,,I12
VZ-072,1811646,Sun Oct 15 01:32:02 +0000 2017,"So, @VerizonSupport claims they truly want to assist me. Well? Yet to see results. I had a positive experience up until this weekend.",1811644,Sun Oct 15 01:34:01 +0000 2017,@382165 I understand you are upset. In order to assist you quicker we are adding @115990 as they are who handles our wireless side. ^RMD,,,,,,,I12
VZ-073,1017878,Sun Oct 22 22:37:06 +0000 2017,@VerizonSupport I ended up losing most of my points for a film I’ve already seen. 🤣,1017879,Sun Oct 22 22:40:54 +0000 2017,@360830 I am guessing the purchase button was pressed 1 too many times?? Did that just happen? ^RMD,,,,,,,I12
VZ-074,67941,Thu Nov 30 08:48:57 +0000 2017,@VerizonSupport I do not use the app. I go to the actual website. https://t.co/wtMyZIx480,67940,Thu Nov 30 08:51:25 +0000 2017,"@131502 What happens when you click on one of the options to verify your account?
^NHP",,,,,,,I12
VZ-075,188206,Wed Oct 04 03:14:33 +0000 2017,@115722 ESPN and ppv only,188205,Wed Oct 04 03:19:52 +0000 2017,@160158 We want to make sure the needle wires are straight on both ends before reconnecting. ^DDD,,,,,,,I04
VZ-076,17794,Sun Dec 03 19:20:39 +0000 2017,@VerizonSupport FiOS. And I love it. Not a single problem in 9 years.,17795,Sun Dec 03 19:23:24 +0000 2017,@119940 We're glad to hear you're happy with Fios service! Please let us know if do you have any issues with it. ^DDD,,,,,,,I12
VZ-077,2748666,Mon Nov 20 23:39:13 +0000 2017,@VerizonSupport Doesn't work. I went outside to check the wires and I found the problem. The wires were cut and are down. So what do I do about that,2748667,Mon Nov 20 23:46:31 +0000 2017,"@769607 We would need you to go to a secure chat to get a ticket placed to have a tech fix your wires. However the chat lines have a higher wait time than normal. You can call in to do the same or if you have the MYFIOS app you can do that there as well.
^JAY",,,,,,,I12
VZ-078,337252,Sat Oct 07 21:53:33 +0000 2017,Hey @115722 fix the outage in Lawrence NJ. I have baseball to watch,337250,Sat Oct 07 21:56:58 +0000 2017,"@196472 Good evening, did you have a ticket number for this possible issue? ^RMD",,,,,,,I01
VZ-079,1104108,Sun Oct 15 08:11:56 +0000 2017,@VerizonSupport Hello! I wanted to know how much would it be if I were to switch over and get my iPhone 6s Plus activated?,1104107,Sun Oct 15 08:15:00 +0000 2017,"@380558 Let us get this over to our wireless counterparts for all your mobile concerns @115990.
^NHP",,,,,,,I12
VZ-080,360493,Mon Oct 09 13:54:56 +0000 2017,@VerizonSupport FIX IT!!  ; ) actually someone fr verizon is coming to look at it (?) on wednesday.,360495,Mon Oct 09 13:56:33 +0000 2017,@201377 Great.  ^CAR,,,,,,,I12
VZ-081,52633,Wed Nov 01 20:18:09 +0000 2017,@VerizonSupport Both my macbooks and my iphone are connected to the 5Ghz,52644,Wed Nov 01 20:23:27 +0000 2017,"@127841 Can you connect them to the 2.4 and test.
^ACM",,,,,,,I12
VZ-082,2900829,Tue Nov 28 17:56:11 +0000 2017,@115955 Am sorry as well. I guess am going to have to take my service @115722,2901533,Tue Nov 28 18:01:29 +0000 2017,"@803550 You can sure come to Verizon fios! https://t.co/MMBPEjPQR4
^ADP",,,,,,,I12
VZ-083,394735,Mon Oct 09 18:00:55 +0000 2017,@VerizonSupport Which prevents me from using my bank account with VZ. I am beyond frustrated as this issue was created by a double charge from Verizon!,394738,Mon Oct 09 18:04:53 +0000 2017,"@209529 No worries at all.  For this, you would need to speak with our Financial Services team at 1-888-780-3962 ^BCW",,,,,,,I07
VZ-084,2777944,Tue Nov 21 15:10:35 +0000 2017,"How many times should a customer need to contact @115725 to apply a discount to a contract? 2x’s on the website, 2 calls and a visit to a store and not even applied.. I’m done with your company!!!",2777942,Tue Nov 21 15:13:24 +0000 2017,@776086 That is frustrating.  Depending on the issue it can take a while for discount to be applied.  What have you been told?  ^CAR,,,,,,,I11
VZ-085,1570625,Sun Nov 05 14:29:46 +0000 2017,@VerizonSupport Right next to it,1570626,Sun Nov 05 14:33:00 +0000 2017,"@484348 Please follow and DM us for assistance.
^TDC",,,,,,,I12
VZ-086,1899915,Mon Oct 23 21:44:09 +0000 2017,@115722 when you guys gonna come to Illinois,1899914,Mon Oct 23 21:47:27 +0000 2017,"@314140 We are working on expanding. Sign up for updates on the website below. Let us know if you have any questions.
https://t.co/2yTjPA7ZOw

^TNT",,,,,,,I12
VZ-087,412089,Tue Oct 10 00:33:36 +0000 2017,@VerizonSupport Sound cuts out too,412088,Tue Oct 10 00:39:00 +0000 2017,"@213310 Is it affecting all of your TVs?
^TNT",,,,,,,I12
VZ-088,1244730,Wed Oct 25 23:57:30 +0000 2017,@VerizonSupport I’m sick of shows restarting from the beginning and not being able to fast forward To resume. What can I do??,1244728,Thu Oct 26 00:00:00 +0000 2017,"@412013 Hi Brandon, Are you watching shows via On Demand?
^NHP",,,,,,,I12
VZ-089,2127899,Wed Nov 08 17:26:50 +0000 2017,"@VerizonSupport Yup, the VID light is red and on the WPS box the symbol above the WiFi light is red",2127898,Wed Nov 08 17:32:26 +0000 2017,@626456 We can help with this! Please follow and DM so we can continue. ^DDG,,,,,,,I12
VZ-090,244572,Thu Oct 05 14:46:52 +0000 2017,"@VerizonSupport Phone won’t work, can’t turn it off, apps not responding 2 touch. Can get notifi &amp; Siri. Nothing else works😩HELP!!!!!",244570,Thu Oct 05 14:50:53 +0000 2017,"@174104 Please contact our friends @115990 for assistance with Verizon Mobile service.
^TXA",,,,,,,I12
VZ-091,927367,Sat Oct 21 14:32:28 +0000 2017,"@VerizonSupport No not now, but when we do need help it's never pretty. I sometimes rather visit a dentist office for root canal.",927366,Sat Oct 21 14:35:26 +0000 2017,"@340038 Please fell fee to join us here in Social Media. We will do all within our power to correct any issues you may have. 
^TXA",,,,,,,I12
VZ-092,685129,Thu Nov 23 12:18:32 +0000 2017,@VerizonSupport @115725 #verizonsucks and steals your money. Don’t get Fios,685128,Thu Nov 23 12:21:54 +0000 2017,@280233 This is not the perception we want you to have of us! Allow us to turn this around. How can we assist? ^DDG,,,,,,,I12
VZ-093,2268964,Thu Oct 19 18:13:19 +0000 2017,@115722 Why when I search availability do you show this even though I CAN'T GET IT?? https://t.co/Yf3Y22n7ge,2268963,Thu Oct 19 18:15:26 +0000 2017,"@346475 This is the availability site.
https://t.co/vMeoktGdmy ^ACM",,,,,,,I12
VZ-094,2495140,Mon Oct 30 03:03:47 +0000 2017,@VerizonSupport no. i have no idea what that is. do you have a photo?,2495141,Mon Oct 30 03:06:54 +0000 2017,"@712139 Sure!
^JAY https://t.co/XTpGlcHe7s",,,,,,,I12
VZ-095,412110,Tue Oct 10 00:27:41 +0000 2017,That makes two of us. @115722 never gave me my referral points. Promote their service and they keep the reward. #ThanksVerizon https://t.co/6RKOYZctbY,412108,Tue Oct 10 00:30:43 +0000 2017,"@213316 That is not the epxerience we want you to have. Please follow and DM us the details and we will look into it for you.
^TNT",,,,,,,I12
