case_id                                                                                                                                                                                                                                                                                                            customer_text prelabel_intent                                                                                                                                                                                                                                                              historical_verizon_reply
 VZ-033                                                                                                                                                                               @VerizonSupport My NFL Redzone = not working. Using WMC with cable card. Msg = "service unavailable signal not detected." other chnnls wrk             I04                                                                                                                                                                                                           @201451 Are you attempting to view it on your TV using the cable card? ^TNT
 VZ-034                                                                                                                                                                 @VerizonSupport Waiting for an hour on the phone to order Verizon Fios. Do you guys not like making money. I waited on the phone for 3 mins with @116136             I05                                                                                                                                                  @311378 We understand the frustration we are receiving higher than normal calls and chats right now. Please be patient with us. ^JAY
 VZ-035                                                                                                                                                                                                                     @VerizonSupport No orders have been placed, it's a family account. Wanting to ensure it's not fraud.             I10                                                                                                                                                                                                                                       @733244 Is this for your cellular account? ^CAR
 VZ-036                                                                                                                                                                                @VerizonSupport It almost feels like an account provisioning issue, but I don’t recall making any changes to the channel lineup recently.             I07                                                                                                                                                                                                                      @359452 That error message is associated to a signal issue. ^CAR
 VZ-037                                                                                                                                                                                                                        @VerizonSupport blocked, the voicemail icon appears when device never rang every 90 minutes or so             I09                                                                                                                                                                                                        @212416 Could you follow and DM us the number that is calling you please. ^RMD
 VZ-038                                                                                                                                                                                                               @VerizonSupport Please contact me. My landline isn’t working AGAIN and claims service is interrupted AGAIN             I09                                                                                                                                                                                                                                @405965 Do you have Fios or Copper phone with us? ^DDG
 VZ-039                                                                                                                                                                                                                                       Can't wait to cancel my @115722. This is the right choice. https://t.co/eIJnhuRvIc             I11                                                                                                                                                                                                           @389627 We would hate to see you go. What has you wanting to leave us? ^BCW
 VZ-040                                                                                                                                             @VerizonSupport I have been having issues with Verizon since August! way too much to type please find me in your system and have someone call me on my cell which is listed!             I05                                                                                                                                                                                                                    @776989 We can help! Please follow and DM so we can continue. ^DDG
 VZ-041                                                                                                                                                                                                 @VerizonSupport When we get @115722 in the 20036 zip for businesses? Mobile, home, work customer, but need faster speed!             I05                                                                                                                                                                          @191404 Help is here! Use this link to check if fios is available in your area. ^DDG https://t.co/d64xVH192e
 VZ-042                                                                                                                                                                                                                                 @VerizonSupport All three of these and 1-800-Verizon. All closed https://t.co/jp0Y8bqBQt             I12                                                                                                                                                                                                                      @654994 Try 1-800-599-0193. Let us know if you get through. ^KMG
 VZ-043                                                                                                                                                                                         @VerizonSupport Yes. I have a question about buying the right router for my internet. New customer. I want to buy my own router.             I03                                                                                                                                                                              @141424 What questions do you have? We can answer your questions be we do not recommend equipment . ^TDC
 VZ-044                                                                                                                                                                                 hey @VerizonSupport , i've got internet speeds way below what I pay for and your "optimizer" only works on Windows? what the fuck gives?             I02                                                                                                                                                                            @480022 Apple has a broad band tuner. Are you having speed issues over wired or wireless connections? ^JRA
 VZ-045                                                                                                                                                              @VerizonSupport I’ve been through this already. I’d like to speak with a representative over the phone to schedule an appointment. I️ know what the issue -             I08                                                                                                                                                                                                   @682145 In order to speak to someone over the phone you would need to call in. ^JAY
 VZ-046                                                                                                                                                                                                                                                                                   @VerizonSupport Back to @116602 losers             I12                                                                                                                                                                                                         @360830 Some movies are not available for rent with points but many are. ^RMD
 VZ-047                                                                                                                                                                                              @115722 In New Jersey, trying to watch "White Men Can't Jump" on @51309 and the signal keeps lagging. 🤔Help! #ruiningSunday             I02                                                                                                                                                                                                                                @404094 Happening n all TV's? Any other channels? ^RMD
 VZ-048                                                                                                                                                                           @VerizonSupport wired speedtests are great. But as soon as I load up @15542 or @75982 and try to stream to @119038 all frames drop. #throttled             I02                                                                                                                                                                                                 @364222 What indication do you have of dropped packets? Do you have traceroutes? ^BAB
 VZ-049                                                                                                                                                                @VerizonSupport Again...I've NEVER lived in NJ but I'm told that I owe 1448 dollars for a land line there! How does THAT work! I've NEVER been to Trenton             I09                                                                                                                                                                                           @298609 You would need to reach out to our Financial Services team at 1-888-780-3962 . ^BCW
 VZ-050                                                                                                                                                                                                                                                                                  @VerizonSupport Verizon wireless mobile             I05                                                                                                                                                                                                                                  @361459 We will let @115990 know you need help. ^KMG
 VZ-051                                        @115725 If you dismiss a card in the My Verizon app, how do you get it back? One got dismissed that was not the one I was actually swiping away. Then when I tapped “Undo,” it went to something else, and when I immediately went back to the main feed screen, “Undo” was gone.             I07                                                                                                                                                                                                         @758001 Is this for your Verizon residential or Verizon wireless mobile? ^ADP
 VZ-052                                                                                                                                                                                         How does one successfully turn off their @115725 account? There is no option online and their sales folks just keep you on hold.             I11                                                                                                                                                                                                                         @176197 Is there anything we can do to change your mind? ^TNT
 VZ-053                                                                                                                                                                                                                                                                  @115722 is there a outage effecting northern va and dc?             I01                                                                                                                                                                                     @578758 None that we're aware of, Jason. What seems to be going on that has you asking that? ^BCW
 VZ-054                                                                                                                                                                                 @VerizonSupport to wait on a tech and pay a fee when all the wires and equipment for installation is here and I'm a certified pcst (4/8)             I08                                                                                                                                                                         @175506 We understand your concern but some equipment may have to be upgraded depending on your request. ^TDC
 VZ-055                                                                                                                                                                                                            @VerizonSupport i have tried to do a chat and find out what is going on with my bill and no one is available.             I07                                                                                                                                                       @217888 We can help you here. What questions do you have with your bill? Please follow and DM us so we can further assist. ^ADP
 VZ-056                                                                                                                                                                                                   @VerizonSupport Been on hold on a Verizon Store using your locations phone. What's the excuse? https://t.co/KF9G3MVMdg             I05                                                                                                                                                                                                   @676924 Are you having a Fios or Wireless (mobile) issue? We'd like to assist. ^DDD
 VZ-057                                                                                                                                                                                                             @VerizonSupport I would like to turn off my voicemail feature. Is there any way I can do this w/out calling?             I09                                                                                                                                                                                                                   @390274 Do you have digital voice or copper for phone service? ^CAR
 VZ-058                                                                                                                                                              @VerizonSupport Unfortunately,the app is now giving me red circle swirling. Then plays then does the swirling again,hard to watch something that keeps that             I06                                                                                                                                                                        @169645 This is very odd, are you able to access the same episode from the Fios Mobile app on your phone? ^JRA
 VZ-059                                                                                                                                                                                                        @VerizonSupport Been on hold for 57 minutes. If someone could answer it would be helpful. https://t.co/5CVXM5wOBV             I11                                                                                                                              @554086 We can help with this! Please follow &amp; DM so we can continue. Also delete the public tweet with your account info for security purposes.^DDG
 VZ-060                                                                                                                                                                                                                               @VerizonSupport is the fios mobile app down or is widespread outage causing issue with it.             I06                                                                                                                                                        @180235 Our apologies as we have gotten multiple reports. We appreciate your patience in the matter while we investigate. ^JRA
 VZ-061                                                                                                                                                                                                                                                @VerizonSupport This has been ongoing since April and it is unacceptable.             I11                                                                                                                                                                                                                               @126791 We really don't want you to feel that way. ^NHP
 VZ-062                                                                                                                                                                                                                                                 @VerizonSupport Why am I missing text messages? Happening for a week now             I06                                                                                                                                                                            @821614 We will have to refer this to our wireless counterparts @115990 for all your mobile concerns. ^JRA
 VZ-063                                                                                                                                                                                                @115725 Yes. I have been also experiencing very slow upload and download speeds, but that seems to be normal for you guys             I02                                                                                                                                                                           @350298 We want to provide the correct support. Is this regarding your Mobile or Residential services? ^JRA
 VZ-064                                                                                                                                                                                 @VerizonSupport @115722 #verizonoutage Your service yesterday &amp; today have been dismal in NJ. When will it b restored? Reimbursment?             I01                                                                                                                                                                                                             @517028 Good evening, is there an outage still listing in your area? ^RMD
 VZ-065                                                                                                                                                                              @VerizonSupport i pay you and it seems you forget you're an ISP. my speeds are treacherously slow need to reset reg. contact me or i'm DONE             I02                                                                                                                                                                                         @298821 Help is here. Please run a test at https://t.co/yMMRB4VWSM and post the results. ^KMG
 VZ-066                                                                                   @115722 After 7 calls to you since August due to an error on your end attempting to charge me $25 more than I signed a contract for, I've been promised 2 callbacks and a $50 credit. Apparently being a loyal customer means nothing.             I07                                                                                                                                                                                                                            @236750 We are here to help, please follow and DM us. ^ACM
 VZ-067                                                                                                                                                                                                                                                                            @VerizonSupport Yes, it's next to the router.             I03                                                                                                                                               @674666 Great, if you have the white unit hold down the alarm silence button for 20 secs. The black unit will have a reset button. ^JRA
 VZ-068                                                                                                                                                                                                                  @VerizonSupport I plan on returning an item, and might have lost my Receipt do I need that for a return             I12                                                                                                                               @700589 That is a good question. We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. They will be in touch. ^HSB
 VZ-069                                                                                                                                                                                                        @115725 what happened to you? I remember when I used to get 50mb down. Now this. No good. https://t.co/X9jDS0FoIf             I06                                                                                                                                        @408922 Let's get those speeds back to where they belong. Can you run a test hard-wired at https://t.co/V4z4idQ39n and share the results? ^HSB
 VZ-070                                                                                                                                                                                                                                                                              @VerizonSupport My optimum landline is fine             I09                                                                                                                                                                                                                                      @405794 Do you have landlines with Verizon? ^ADP
 VZ-071                                                                                                                                                                                                   @VerizonSupport No. I had the router replaced a month or so ago because we kept losing internet. It is still not back.             I03                                                                                                                                                                                           @747209 We'd like to investigate further. Please follow and DM us at your convenience. ^DDD
 VZ-072                                                                                                                                                      Hey @115722 I just had my service installed and purchased a G1100 router because I was told it was "required" - turns out its not. How can I go about returning it?             I08                                                                                                                                                                                  @351553 Let's take a look. how long ago did you start service with us amd purchase that router? ^RMD
 VZ-073                                                                                                                                                                                           @115722 It's cheaper for me to cancel my service and return as a new customer. Why don't I just not come back while I'm at it?             I11                                                                                                                                                                                                                                  @521244 Are you having an issue with your bill? ^CAR
 VZ-074                                                                                                                                                                                        @VerizonSupport The router, quantum gateway upstairs wired to pc. Downstairs Xbox one to settop. Games lag. #12YearOldIsMiserable             I03                                                                                                                                                                                                                                      @309354 Games lag on the xbox or on the pc? ^RMD
 VZ-075                                                                                                                                                                                   @VerizonSupport I just got a prepaid refill card and one of the numbers has been scratched off how do I go about getting this resolved             I07                                                                                                                                                                                           @441909 Please contact our friends @115990 for assistance with Verizon Mobile service. ^TXA
 VZ-076                                                                                                                                                                                                                                @VerizonSupport It's more of something on my account billing, shoukd I just call support?             I07                                                                                                                                                                   @214401 No we can help you here with your billing or technical questions as long as the account is still open. ^ADP
 VZ-077                                                                                                                                                                                       Check out my internet @55 @115725 I pay for gigabit internet. This has been my speed for the last 3 days!😡 https://t.co/GljSfyBJk9             I02                                                                                                                                                                                      @689103 We would like to help. Please test at https://t.co/yMMRB4VWSM and post the results. ^KMG
 VZ-078                                                                                                                             Apparently no one @VerizonSupport or @115990 has ever heard of this device I bought yesterday at a brick and mortar Verizon store. Now I have no working home phone. https://t.co/4jZu6mX17c             I09                                                                                                                                                    @143890 We do apologize for the inconvenience. We are working with our wireless counterparts to better resolve your concerns. ^BAB
 VZ-079                                                                                                                                                             @VerizonSupport it does not go red. I stream on a site called Twitch and it happens there the most. I do get disconnected offstream as well but not as often             I06                                                                                                                                                                                                  @401149 Understood, there have been multiple reports. Check their latest Tweet. ^JRA
 VZ-080                                                                                                                                                                 I don't care what @47088 says, @115722 is a #garbageboy only good if you love being overcharged and stuck on the phone with customer service every month             I07                                                                                                                       @821618 Yikes! We do not like to see that you feel this way about us and our service. What trouble are you having with your service? We'd be glad to help. ^HSB
 VZ-081                                                                                                                                                                              @115725 States outage will take 24 hours to repair. taking my $.5 million a year in business somewhere else I guess. No one working at site             I01                                                                                                                                                                              @185054 Good evening, sorry to hear you are having trouble. Was this for your home or cell service? ^RMD
 VZ-082                                                                                                                                                                                                                                                                            @VerizonSupport Ok I’ll call you later love u             I05                                                                                                                                                                                                                       @434493 We love you too &lt;3, let us know if you need us. ^TNT
 VZ-083                                                                                                                                                                                                             @VerizonSupport Correct. My router, direct Ethernet from your external box (no coax), all wired connections.             I03                                                                                                                                                                                                            @126784 Brian, Please follow and DM us so we can access your account. ^NHP
 VZ-084                                                                                                                                                                                                                  Hey @VerizonSupport want to fix your website so it realizes I am answering my annoying secret question?             I12                                                                                                                                              @317999 We will be happy to assist you. Can you please close the browser out then try again. Or try with another device or browser. ^TXA
 VZ-085                                                                                                                                                                             @VerizonSupport Spoke to a rep in your business support dept tonight (sup was Amber). Guy deserves mad kudos! A+ Service. Doesn’t get better             I12                                                                                                                                                     @199053 Thank you for the appreciation! That is the type of service that we strive for. Enjoy the remainder of your evening. ^HSB
 VZ-086                                                                                                                                                                                                   @VerizonSupport She’s the one on the phone, so I think your customer service team is just too poorly managed to assist             I05                                                                                                                                                                                               @634194 If she still needs help when she is done, please have her reach out to us. ^TXA
 VZ-087                                                                                                                                                             @VerizonSupport Im not sick in bed, im sick as in FED UP with your TERRIBLE customer service! Or are you seriously pretending you dont have my phone number?             I11                                                                                                                                                                                                                   @714172 Please call 1-800-837-4966 to speak with a Live agent. ^TDC
 VZ-088                                                                                                                                                                              @VerizonSupport DSL issue in Boston area zip 02119. Restarted modem several times, connects for 2-3 minutes then out. No red light on modem             I03                                                                                                                                                                                                         @737384 Let's work on this! Please follow and DM us at your convenience. ^DDD
 VZ-089                                                                                                                                                                                                                                                                      @VerizonSupport you asked me to DM you about my DVR             I12                                                                                                                                                                                                                 @201376 Yes please. Once you send us the DM, we can get started. ^BCW
 VZ-090                                                                                                                                                                                         @VerizonSupport shocking. another no show. you people care about nothing but the check. which i will not send until you fix this             I04                                                                                                                                                                     @211056 I am truly sorry that we have not gotten there yet. Could you come back into our secure chat please. ^RMD
 VZ-091                                                                                                                                                                                                                   @VerizonSupport Yes, its very odd, my speeds are blazing fast, games are good, everything but YouTube.             I02                                                                                                                                                                                                 @424710 It may be an issue on their end. Have you performed a Tracert to verify? ^JRA
 VZ-092                                                                                                                                                                                                                                  @VerizonSupport Hi 👋🏻 How do I disenroll from Voice Mail to Text? I didn't request it 😳             I09                                                                                                                                                                                                               @240578 Are you referring to your wireless device or home service? ^JAY
 VZ-093                                                                                                                                                                                   @VerizonSupport using NBCsports app on Samsung tablet to watch premier league, but FIOS back-end authorization page apparently broken.             I06                                                                                                                                                                               @376526 Let's get it working! Have you already tried rebooting your tablet before signing back in? ^DDD
 VZ-094                                                                                                                                                                                                                                                      @115722 Everytime I do a speed test on your website it fails at 95%             I02                                                                                                                                                                                                                          @192827 Can you try to run it from a different browser? ^BCW
 VZ-095                                                                                                                                                                                                                                                                                              @VerizonSupport no internet             I01                                                                                                                                                                                           @213711 Let's find out what might be going on, Donna. What state are your services in? ^BCW
 VZ-096                                                                                                                                                                                    @115990 do you guys have any good deals right now? @comcastcares is horrible and are not providing me with any good service at all!!!             I12                                                                                                                                                          @760314 We'd love to have you in the Fios family! Please check here for availability and deals: https://t.co/hMjCBn9eAy ^HSB
 VZ-097                                                                                                                                                                                                        @115725 The worst customer service I have ever seen. Nothing but broken promises and more lies. Thank you Verizon             I11                                                                                                                                                                                                                                            @212999 What makes you feel this way? ^TNT
 VZ-098                                                                                                                                                                                                Are you serious!? @115955 we have been with no internet or cable for almost 24 hours now!? WTH!? #SwitchingtoFios @115722             I01                                                                                                                                      @588095 We will be happy to help you join. Please click on the following link to see available deals for your area. https://t.co/xwMoGrj6hC ^TXA
 VZ-099                                                                                                                                                                                            @VerizonSupport When I'm on my devices I expect speeds faster than 1... Really closer to 50. Time to switch providers I guess             I02                                                                                                                                        @403822 We want to make sure you're getting the proper speeds to the router. Can you test with a wired device first to make sure of that? ^BCW
 VZ-100                                                   .@VerizonSupport no #PowerfulAnswers from you today. Thankful family member is #Teamiphone @115858 allowing me to use hotspot so I can work while on call. Let's see what happens at 8am, #PowerfulAnswers then? Hope technician is competent. https://t.co/6cagkict5d             I08                                                                                                                                                                                                                                       @766172 It would be our pleasure to assist ^BAB
 VZ-101                                                                                                                                                                                      Oh God I'm going to be so hungover when Verizon shows up to fix my internet at 8am but what else was there to do with no internet??             I01                                                                                                                                                                                                                       @209632 Oh no! Are you going to make the appointment time? ^BAB
 VZ-102                                                                                                                                                                                                                                      @VerizonSupport No. I’m experiencing really slow speeds and it’s really frustrating             I02                                                                                                                                                                                                                                             @440473 What speeds are you getting? ^JAY
 VZ-103                                                                                                                                                                             @115725 One interface tells me that I don’t have voicemail active, the other tells me it is active. One allows scheduling DND, one does not.             I09                                                                                                                                                                                                         @236754 Is this for your Verizon residential or Verizon wireless mobile? ^ADP
 VZ-104                                                                                                                                                                                                                                                                        @VerizonSupport my phone service has no dial tone             I09                                                                                                                                                                                                                                   @407145 That's odd. Did this just occur today? ^CAR
 VZ-105                                                                                                                                                                                                                            @403678 @368079 @115725 @VerizonSupport @119038 I upgraded to get 8 down and 2 up FeelsBadMan             I07                                                                                                                                                                                                  @403677 Are you having an issue with your service? Let u know. We like to help. ^KMG
 VZ-106                                                                                                                                                                               @VerizonSupport I believe my home phone is down do 2 an outage. Your website says no but others are having the same problem. Area code 516             I09                                                                                                                                                                                                   @407546 We can take a closer look at this for you if you can follow and DM us. ^BCW
 VZ-107                                                                                                                                                                                                               @VerizonSupport The outage checker says my area has Fios services, but I still don't have my service back.             I01                                                                                                                                                                                                               @291280 Hi Bebe, Have you tried to reset your battery back up box? ^NHP
 VZ-108                                                                                                                                                                                                                                                                            @VerizonSupport having issues accessing hbogo             I04                                                                                                                                                                                                                     @205493 What issues are you having when you attempt to view? ^RMD
 VZ-109                                                                                                                                                     Constant outages, highrental fees, overly priced packages&amp;now SUPER limited channels,can’t wait for fios hookup @Ask_Spectrum cc: @72171 https://t.co/wXIcDYcMYM             I07                                                                                                                                                         @317287 Sounds like it is time to join the Fios team! Availability and deals can be checked here https://t.co/Xh7BOL3CVQ ^HSB
 VZ-110                                     @230557 @VerizonSupport Happens to me daily &amp; I’m with T-Mobile &amp; have been 13 years &amp; counting. They said “Use Mr Number as a block app or change my number.” Mr Number allows you to add the number to a block list but they can still leave voicemail. It’s bullshit.             I09                                                                                                                                                                                                               @814901 Let me partner you with our Verizon Wireless team @115990. ^CAR
 VZ-111                              @VerizonSupport i finally got lucky after 6 tries which a disgrace and a joke...this gentlemen is finally helping me out and i will speak with a supervisor next to hopefully resolve my complaint. Stop telling your customers that you do not have previous records because i know you do             I11                                                                                                                                                                                               @700959 Hi John, The agent speaking with will take good care of you to resolution. ^NHP
 VZ-112                                                                                                                                                                               2nd time in 5 days that there's been a @115725 outage at this exact time! Making us wait 3 hours to fix it is ridiculous!😡 @VerizonSupport             I01                                                                                                                                                                                            @413975 Good evening, did you happen to have a ticket number for that outage already? ^RMD
 VZ-113                                                                                                                                                                                                                                                                              @VerizonSupport no, where might I find that             I12                                                                                                                                                                    @469002 These are our two versions of a Battery Back Up Unit. ^NHP https://t.co/jfjiXtgvhZ https://t.co/DkDv7AWkVp
 VZ-114                                                                                                                                                                                  @115722 @VerizonSupport U guys let an unauthorized person make changes to my account because they had my Acct #. Are u kidding me? WTF?             I10                                                                                                                                                                                                     @451616 Let's investigate this. Please follow and DM us at your convenience. ^DDD
 VZ-115                                                                                                                                                                @VerizonSupport Internet working just no major tv stations including FS1 which the game is on. Be prepared for mayhem if it isn’t fixed in next 8 minutes             I04                                                                                                                                                                                                        @470712 Please follow and DM us we will take a closer look at it for you. ^TNT
 VZ-116                                                                                                                                                                                        Major fail today with #att #DIRECTV installation @ATT @117735 never happened!! #brokenpromises #sad there always #Verizon @115725             I08                                                                                                                                                                    @302246 We'd love to have you in the Fios family! Please check here for availability: https://t.co/TmDtkNCF2T ^HSB
 VZ-117                                                                                                                                                                     @VerizonSupport I did. It said all should be good. Router shows red globe icon, router webpage shows no connection. Power cycled, retightened cable.             I04                                                                                                                                                                                                                                 @411747 Have you reset your battery back up box? ^NHP
 VZ-118                                                                                                                               @VerizonSupport Can confirm 2 other devices connected but not in use. ...This is also me 20ft closer to the router. Better, but still 35-40% poorer than promised. https://t.co/9v7533D3xn             I03                                                                                                                                                                                                                           @813179 Can you perform a factory reset on the router? ^CAR
 VZ-119                                                                                                                                                                                                                                                     Canceling cable and just doing internet. Do I use @115722 or @116136             I11                                                                                                                                                                                                                             @703823 Check out this link. https://t.co/wh3rm8bPhY ^CAR
 VZ-120                                                                                                                                                                                                @VerizonSupport Yes I have all three services with Verizon. Just upgraded to the highest internet speed about a week ago.             I02                                                                                                                                                                                                                                        @292825 Have we tested power to the unit? ^BAB
 VZ-121                                                                                                                                                                                                                   @VerizonSupport This is what I have acces too, and the Verizon provided router https://t.co/cByr5fattm             I03                                                                                                                                                 @719244 Perfect! Can you hold down the Alarm Silence button for 15 seconds? Wait 5 minutes afterwards to see if services return. ^DDD
