case_id,customer_tweet_id,customer_created_at,customer_text,support_tweet_id,support_created_at,historical_verizon_reply,prelabel_intent,prelabel_confidence,intent_label,intent_confidence,should_escalate,escalation_reason,expected_resolution,review_notes
VZ-068,2443204,Tue Nov 14 23:55:30 +0000 2017,"@VerizonSupport I plan on returning an item, and might have lost my Receipt do I need that for a return",2443203,Wed Nov 15 00:01:28 +0000 2017,@700589 That is a good question. We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. They will be in touch. ^HSB,I12,0,,,,,,
VZ-069,1231788,Wed Oct 25 21:02:39 +0000 2017,@115725 what happened to you? I remember when I used to get 50mb down. Now this. No good. https://t.co/X9jDS0FoIf,1231786,Wed Oct 25 21:07:14 +0000 2017,@408922 Let's get those speeds back to where they belong. Can you run a test hard-wired at https://t.co/V4z4idQ39n and share the results? ^HSB,I06,4,,,,,,
VZ-070,1218053,Wed Oct 25 14:21:14 +0000 2017,@VerizonSupport My optimum landline is fine,1218051,Wed Oct 25 14:23:46 +0000 2017,@405794 Do you have landlines with Verizon? ^ADP,I09,5,,,,,,
VZ-071,2648812,Tue Nov 21 01:23:51 +0000 2017,@VerizonSupport No. I had the router replaced a month or so ago because we kept losing internet. It is still not back.,2648813,Tue Nov 21 01:27:00 +0000 2017,@747209 We'd like to investigate further. Please follow and DM us at your convenience. ^DDD,I03,3,,,,,,
VZ-072,2373805,Tue Nov 14 01:35:13 +0000 2017,"Hey @115722 I just had my service installed and purchased a G1100 router because I was told it was ""required"" - turns out its not. How can I go about returning it?",2373804,Tue Nov 14 01:37:00 +0000 2017,@351553 Let's take a look. how long ago did you start service with us amd purchase that router? ^RMD,I08,4,,,,,,
VZ-073,1722877,Tue Oct 17 18:29:59 +0000 2017,@115722 It's cheaper for me to cancel my service and return as a new customer. Why don't I just not come back while I'm at it?,1722875,Tue Oct 17 18:32:32 +0000 2017,@521244 Are you having an issue with your bill? ^CAR,I11,2,,,,,,
VZ-074,877048,Sun Oct 22 03:39:52 +0000 2017,"@VerizonSupport The router, quantum gateway upstairs wired to pc. Downstairs Xbox one to settop. Games lag. #12YearOldIsMiserable",877049,Sun Oct 22 03:45:32 +0000 2017,@309354 Games lag on the xbox or on the pc? ^RMD,I03,6,,,,,,
VZ-075,1383222,Sat Oct 28 07:35:29 +0000 2017,@VerizonSupport I just got a prepaid refill card and one of the numbers has been scratched off how do I go about getting this resolved,1383221,Sat Oct 28 07:38:25 +0000 2017,@441909 Please contact our friends @115990 for assistance with Verizon Mobile service. ^TXA,I07,4,,,,,,
VZ-076,1695745,Mon Nov 06 18:56:45 +0000 2017,"@VerizonSupport It's more of something on my account billing, shoukd I just call support?",1695744,Mon Nov 06 19:03:28 +0000 2017,@214401 No we can help you here with your billing or technical questions as long as the account is still open. ^ADP,I07,8,,,,,,
VZ-077,2393246,Tue Nov 14 11:21:20 +0000 2017,Check out my internet @55 @115725 I pay for gigabit internet. This has been my speed for the last 3 days!😡 https://t.co/GljSfyBJk9,2393245,Tue Nov 14 11:24:55 +0000 2017,@689103 We would like to help. Please test at https://t.co/yMMRB4VWSM and post the results. ^KMG,I02,3,,,,,,
VZ-078,127533,Fri Nov 24 03:34:02 +0000 2017,Apparently no one @VerizonSupport or @115990 has ever heard of this device I bought yesterday at a brick and mortar Verizon store. Now I have no working home phone. https://t.co/4jZu6mX17c,127531,Fri Nov 24 03:37:00 +0000 2017,@143890 We do apologize for the inconvenience. We are working with our wireless counterparts to better resolve your concerns. ^BAB,I09,5,,,,,,
VZ-079,1196591,Wed Oct 25 04:14:23 +0000 2017,@VerizonSupport it does not go red. I stream on a site called Twitch and it happens there the most. I do get disconnected offstream as well but not as often,1196592,Wed Oct 25 04:16:30 +0000 2017,"@401149 Understood, there have been multiple reports. Check their latest Tweet. ^JRA",I06,4,,,,,,
VZ-080,2979060,Thu Nov 30 03:30:34 +0000 2017,"I don't care what @47088 says, @115722 is a #garbageboy only good if you love being overcharged and stuck on the phone with customer service every month",2979059,Thu Nov 30 03:40:28 +0000 2017,@821618 Yikes! We do not like to see that you feel this way about us and our service. What trouble are you having with your service? We'd be glad to help. ^HSB,I07,8,,,,,,
VZ-081,336887,Sat Oct 07 21:34:56 +0000 2017,@115725 States outage will take 24 hours to repair. taking my $.5 million a year in business somewhere else I guess. No one working at site,336885,Sat Oct 07 21:36:24 +0000 2017,"@185054 Good evening, sorry to hear you are having trouble. Was this for your home or cell service? ^RMD",I01,4,,,,,,
VZ-082,1348603,Fri Oct 27 17:34:11 +0000 2017,@VerizonSupport Ok I’ll call you later love u,1348604,Fri Oct 27 17:38:30 +0000 2017,"@434493 We love you too &lt;3, let us know if you need us. ^TNT",I05,3,,,,,,
VZ-083,48429,Sat Nov 11 02:33:29 +0000 2017,"@VerizonSupport Correct. My router, direct Ethernet from your external box (no coax), all wired connections.",48430,Sat Nov 11 02:37:56 +0000 2017,"@126784 Brian, Please follow and DM us so we can access your account. ^NHP",I03,3,,,,,,
VZ-084,831444,Fri Oct 13 04:24:49 +0000 2017,Hey @VerizonSupport want to fix your website so it realizes I am answering my annoying secret question?,831443,Fri Oct 13 04:27:30 +0000 2017,@317999 We will be happy to assist you. Can you please close the browser out then try again. Or try with another device or browser. ^TXA,I12,0,,,,,,
VZ-085,826395,Fri Oct 13 01:16:19 +0000 2017,@VerizonSupport Spoke to a rep in your business support dept tonight (sup was Amber). Guy deserves mad kudos! A+ Service. Doesn’t get better,826394,Fri Oct 13 01:24:02 +0000 2017,@199053 Thank you for the appreciation! That is the type of service that we strive for. Enjoy the remainder of your evening. ^HSB,I12,0,,,,,,
VZ-086,2159088,Sun Oct 29 04:10:07 +0000 2017,"@VerizonSupport She’s the one on the phone, so I think your customer service team is just too poorly managed to assist",2159086,Sun Oct 29 04:12:52 +0000 2017,"@634194 If she still needs help when she is done, please have her reach out to us. ^TXA",I05,3,,,,,,
VZ-087,2504149,Mon Nov 20 14:32:52 +0000 2017,"@VerizonSupport Im not sick in bed, im sick as in FED UP with your TERRIBLE customer service! Or are you seriously pretending you dont have my phone number?",2504150,Mon Nov 20 14:37:00 +0000 2017,@714172 Please call 1-800-837-4966 to speak with a Live agent. ^TDC,I11,4,,,,,,
VZ-088,2606441,Mon Oct 30 20:43:05 +0000 2017,"@VerizonSupport DSL issue in Boston area zip 02119. Restarted modem several times, connects for 2-3 minutes then out. No red light on modem",2606440,Mon Oct 30 20:45:34 +0000 2017,@737384 Let's work on this! Please follow and DM us at your convenience. ^DDD,I03,3,,,,,,
VZ-089,362235,Sun Oct 08 17:54:55 +0000 2017,@VerizonSupport you asked me to DM you about my DVR,362232,Sun Oct 08 18:02:00 +0000 2017,"@201376 Yes please. Once you send us the DM, we can get started. ^BCW",I12,0,,,,,,
VZ-090,401929,Mon Oct 09 19:47:44 +0000 2017,@VerizonSupport shocking. another no show. you people care about nothing but the check. which i will not send until you fix this,401927,Mon Oct 09 19:49:29 +0000 2017,@211056 I am truly sorry that we have not gotten there yet. Could you come back into our secure chat please. ^RMD,I04,3,,,,,,
VZ-091,1304012,Fri Oct 27 01:27:56 +0000 2017,"@VerizonSupport Yes, its very odd, my speeds are blazing fast, games are good, everything but YouTube.",1304014,Fri Oct 27 01:30:35 +0000 2017,@424710 It may be an issue on their end. Have you performed a Tracert to verify? ^JRA,I02,3,,,,,,
